SellerName,SellerTier,GMV,MarketplaceRevenue,RefundRate,ContributionMargin,ContributionMarginPct
Seller 1039,Silver,66094.2,8609.5,0.05263157894736842,5770.83,0.6702863116324992
Seller 1079,Bronze,64465.2,8690.96,0.034482758620689655,5954.61,0.6851498568627631
Seller 1045,Silver,62902.2,8549.58,0.0625,5854.88,0.6848149265811888
Seller 1055,Bronze,61946.4,8133.45,0.034482758620689655,5503.36,0.6766329171507788
Seller 1058,Bronze,61018.8,8601.35,0.0,6038.59,0.7020514221604749
Seller 1059,Bronze,56736.6,7457.14,0.05,5030.08,0.6745320592076858
Seller 1072,Bronze,56534.4,7699.07,0.0,5324.63,0.691593919785117
Seller 1053,Silver,54126.6,7794.49,0.0,5521.19,0.7083452541474813
Seller 1068,Bronze,52484.4,6747.12,0.0,4542.78,0.6732917155764236
Seller 1067,Bronze,41137.2,5991.63,0.045454545454545456,4237.47,0.7072315880653512
Seller 1080,Bronze,35445.6,4802.41,0.058823529411764705,3291.64,0.6854141982879429
Seller 1064,Bronze,35181.6,4707.36,0.07142857142857142,3203.29,0.6804854525678937
Seller 1060,Bronze,31861.8,4295.11,0.06666666666666667,2927.99,0.6817031461359545
