Date,Year,Month Number,Month Name,Product,Segment,Country,Units Sold,Sale Price,Manufacturing Price,Gross Sales,Discounts,Sales,COGS,Profit,Profit Margin,Total Expenses,Actual Expenses,Net Income,Inventory,Total assets,Liabilities,Equity,Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Return on Assets,Discount Band,COGS ,Gross Sales ,Sales ,Profit ,Units Sold ,Sale Price ,Manufacturing Price ,Discount Band ,Discounts ,Month Name ,Product 
2023-07-31,2023,7,Jul,Flux,SMB,India,10,118.54,58.05,1185.4,0.0,1185.4,580.51,604.89,0.5103,146.49,136.43,468.46,100.31,5000.0,2722.54,2277.46,2.21,1.78,1.2,0.0937,0-5%,580.51,1185.4,1185.4,604.89,10,118.54,58.05,0-5%,0.0,Jul,Flux
2025-08-08,2025,8,Aug,Cobalt,Enterprise,Germany,10,175.88,72.11,1758.84,211.06,1547.78,721.13,826.65,0.5341,359.22,333.07,493.58,135.68,5000.0,2968.52,2031.48,2.33,2.04,1.46,0.0987,10-20%,721.13,1758.84,1547.78,826.65,10,175.88,72.11,10-20%,211.06,Aug,Cobalt
2023-01-12,2023,1,Jan,Flux,SMB,USA,10,265.56,135.74,2655.57,0.0,2655.57,1357.45,1298.13,0.4888,556.56,556.76,741.36,158.02,5000.0,2176.71,2823.29,2.29,2.0,0.77,0.1483,0-5%,1357.45,2655.57,2655.57,1298.13,10,265.56,135.74,0-5%,0.0,Jan,Flux
2023-12-24,2023,12,Dec,Bravo,SMB,USA,15,179.67,77.78,2695.05,0.0,2695.05,1166.74,1528.31,0.5671,619.16,631.28,897.03,133.15,5231.51,1888.03,3343.48,1.56,1.17,0.56,0.1715,0-5%,1166.74,2695.05,2695.05,1528.31,15,179.67,77.78,0-5%,0.0,Dec,Bravo
2025-04-30,2025,4,Apr,Bravo,Enterprise,USA,10,185.22,73.7,1852.18,55.57,1796.62,736.97,1059.64,0.5898,429.78,450.22,609.42,133.21,5000.0,2710.28,2289.72,1.88,1.38,1.18,0.1219,0-5%,736.97,1852.18,1796.62,1059.64,10,185.22,73.7,0-5%,55.57,Apr,Bravo
2023-05-01,2023,5,May,Cobalt,SMB,UK,4,185.86,84.18,743.45,185.86,557.58,336.72,220.86,0.3961,95.99,101.02,119.84,73.52,5000.0,3065.79,1934.21,1.98,1.43,1.59,0.024,20%+,336.72,743.45,557.58,220.86,4,185.86,84.18,20%+,185.86,May,Cobalt
2023-06-20,2023,6,Jun,Echo,Consumer,India,10,229.71,123.43,2297.12,0.0,2297.12,1234.29,1062.83,0.4627,366.5,337.39,725.43,235.52,5000.0,2466.22,2533.78,1.63,1.06,0.97,0.1451,0-5%,1234.29,2297.12,2297.12,1062.83,10,229.71,123.43,0-5%,0.0,Jun,Echo
2024-03-13,2024,3,Mar,Bravo,Enterprise,USA,9,288.77,156.44,2598.92,181.92,2417.0,1407.98,1009.02,0.4175,430.17,416.97,592.05,227.12,5000.0,2359.42,2640.58,1.31,0.91,0.89,0.1184,5-10%,1407.98,2598.92,2417.0,1009.02,9,288.77,156.44,5-10%,181.92,Mar,Bravo
2025-02-19,2025,2,Feb,Cobalt,Enterprise,UK,10,141.8,62.93,1417.96,99.26,1318.7,629.31,689.39,0.5228,352.63,356.85,332.54,115.01,5000.0,1975.85,3024.15,2.08,1.77,0.65,0.0665,5-10%,629.31,1417.96,1318.7,689.39,10,141.8,62.93,5-10%,99.26,Feb,Cobalt
2024-10-10,2024,10,Oct,Alpha,Consumer,Germany,7,235.82,102.98,1650.72,115.55,1535.17,720.86,814.31,0.5304,399.95,369.68,444.63,146.81,5000.0,2812.12,2187.88,1.73,1.3,1.29,0.0889,5-10%,720.86,1650.72,1535.17,814.31,7,235.82,102.98,5-10%,115.55,Oct,Alpha
2023-07-12,2023,7,Jul,Delta,Consumer,India,12,148.55,70.83,1782.65,213.92,1568.73,849.92,718.82,0.4582,289.64,302.41,416.41,156.25,5000.0,2234.91,2765.09,1.85,1.35,0.81,0.0833,10-20%,849.92,1782.65,1568.73,718.82,12,148.55,70.83,10-20%,213.92,Jul,Delta
2023-10-02,2023,10,Oct,Cobalt,Consumer,USA,5,169.37,71.81,846.85,25.41,821.44,359.05,462.39,0.5629,104.33,108.58,353.8,55.96,5000.0,3081.37,1918.63,1.66,1.21,1.61,0.0708,0-5%,359.05,846.85,821.44,462.39,5,169.37,71.81,0-5%,25.41,Oct,Cobalt
2023-11-04,2023,11,Nov,Delta,SMB,UK,10,256.87,135.27,2568.7,179.81,2388.89,1352.67,1036.21,0.4338,391.71,372.29,663.92,158.31,5000.0,3155.85,1844.15,1.73,1.34,1.71,0.1328,5-10%,1352.67,2568.7,2388.89,1036.21,10,256.87,135.27,5-10%,179.81,Nov,Delta
2024-12-06,2024,12,Dec,Echo,SMB,USA,7,153.45,77.18,1074.18,32.23,1041.96,540.24,501.72,0.4815,230.32,233.5,268.22,96.1,5000.0,2876.59,2123.41,2.22,1.99,1.35,0.0536,0-5%,540.24,1074.18,1041.96,501.72,7,153.45,77.18,0-5%,32.23,Dec,Echo
2025-03-18,2025,3,Mar,Delta,SMB,Canada,1,181.65,82.73,181.65,0.0,181.65,82.73,98.92,0.5446,47.02,49.92,49.0,50.0,5000.0,2555.69,2444.31,2.04,1.74,1.05,0.0098,0-5%,82.73,181.65,181.65,98.92,1,181.65,82.73,0-5%,0.0,Mar,Delta
2025-09-15,2025,9,Sep,Echo,Consumer,Canada,7,231.24,91.44,1618.71,0.0,1618.71,640.06,978.66,0.6046,251.27,239.85,738.81,82.13,5000.0,3199.72,1800.28,2.34,1.88,1.78,0.1478,0-5%,640.06,1618.71,1618.71,978.66,7,231.24,91.44,0-5%,0.0,Sep,Echo
2024-11-19,2024,11,Nov,Bravo,Consumer,USA,9,269.81,113.03,2428.25,72.85,2355.41,1017.28,1338.13,0.5681,538.6,526.32,811.81,121.66,5000.0,1926.6,3073.4,1.45,1.03,0.63,0.1624,0-5%,1017.28,2428.25,2355.41,1338.13,9,269.81,113.03,0-5%,72.85,Nov,Bravo
2024-03-04,2024,3,Mar,Bravo,Consumer,UK,12,228.96,91.89,2747.56,0.0,2747.56,1102.65,1644.92,0.5987,756.54,723.76,921.16,142.36,5111.37,2927.46,2183.91,1.82,1.49,1.34,0.1802,0-5%,1102.65,2747.56,2747.56,1644.92,12,228.96,91.89,0-5%,0.0,Mar,Bravo
2023-10-30,2023,10,Oct,Echo,Consumer,Germany,5,290.61,159.28,1453.06,43.59,1409.46,796.38,613.09,0.435,189.05,175.82,437.27,85.47,5000.0,2912.99,2087.01,1.01,0.58,1.4,0.0875,0-5%,796.38,1453.06,1409.46,613.09,5,290.61,159.28,0-5%,43.59,Oct,Echo
2024-06-09,2024,6,Jun,Echo,SMB,USA,9,317.14,159.0,2854.25,199.8,2654.45,1430.97,1223.48,0.4609,420.56,390.08,833.4,201.88,5000.0,3063.02,1936.98,2.04,1.57,1.58,0.1667,5-10%,1430.97,2854.25,2654.45,1223.48,9,317.14,159.0,5-10%,199.8,Jun,Echo
2024-04-12,2024,4,Apr,Echo,SMB,India,8,234.97,103.64,1879.77,131.58,1748.19,829.1,919.09,0.5257,320.56,345.35,573.74,128.31,5000.0,3228.14,1771.86,1.4,1.18,1.82,0.1147,5-10%,829.1,1879.77,1748.19,919.09,8,234.97,103.64,5-10%,131.58,Apr,Echo
2025-04-20,2025,4,Apr,Bravo,SMB,Germany,14,174.67,73.3,2445.34,0.0,2445.34,1026.16,1419.18,0.5804,598.9,646.7,772.48,146.21,5000.0,2900.43,2099.57,2.15,1.92,1.38,0.1545,0-5%,1026.16,2445.34,2445.34,1419.18,14,174.67,73.3,0-5%,0.0,Apr,Bravo
2025-03-07,2025,3,Mar,Cobalt,Consumer,India,10,131.68,72.42,1316.82,92.18,1224.65,724.15,500.49,0.4087,285.01,305.58,194.91,105.22,5000.0,2045.36,2954.64,2.01,1.76,0.69,0.039,5-10%,724.15,1316.82,1224.65,500.49,10,131.68,72.42,5-10%,92.18,Mar,Cobalt
2024-10-31,2024,10,Oct,Echo,Consumer,USA,11,202.34,91.44,2225.74,0.0,2225.74,1005.8,1219.94,0.5481,515.97,502.78,717.16,146.47,5000.0,2696.58,2303.42,0.95,0.5,1.17,0.1434,0-5%,1005.8,2225.74,2225.74,1219.94,11,202.34,91.44,0-5%,0.0,Oct,Echo
2023-09-29,2023,9,Sep,Alpha,Consumer,USA,7,202.52,71.37,1417.63,0.0,1417.63,499.61,918.02,0.6476,347.3,342.13,575.89,66.07,5000.0,1772.34,3227.66,1.76,1.39,0.55,0.1152,0-5%,499.61,1417.63,1417.63,918.02,7,202.52,71.37,0-5%,0.0,Sep,Alpha
2025-03-26,2025,3,Mar,Alpha,Consumer,USA,8,186.18,68.45,1489.44,0.0,1489.44,547.61,941.84,0.6323,414.05,393.32,548.51,78.48,5000.0,2539.47,2460.53,2.07,1.53,1.03,0.1097,0-5%,547.61,1489.44,1489.44,941.84,8,186.18,68.45,0-5%,0.0,Mar,Alpha
2023-09-08,2023,9,Sep,Echo,Consumer,USA,5,109.21,43.75,546.05,0.0,546.05,218.77,327.28,0.5994,117.01,122.23,205.05,50.0,5000.0,3201.2,1798.8,1.38,1.12,1.78,0.041,0-5%,218.77,546.05,546.05,327.28,5,109.21,43.75,0-5%,0.0,Sep,Echo
2024-07-09,2024,7,Jul,Echo,SMB,USA,13,276.06,150.31,3588.79,107.66,3481.13,1954.05,1527.08,0.4387,761.84,799.05,728.04,199.01,5336.02,1974.72,3361.3,1.83,1.34,0.59,0.1364,0-5%,1954.05,3588.79,3481.13,1527.08,13,276.06,150.31,0-5%,107.66,Jul,Echo
2025-04-01,2025,4,Apr,Flux,Consumer,USA,9,182.43,87.78,1641.84,410.46,1231.38,789.98,441.4,0.3585,323.1,311.1,130.3,102.18,5000.0,2523.74,2476.26,2.53,2.07,1.02,0.0261,20%+,789.98,1641.84,1231.38,441.4,9,182.43,87.78,20%+,410.46,Apr,Flux
2025-08-25,2025,8,Aug,Bravo,SMB,India,12,198.35,90.42,2380.19,285.62,2094.57,1085.01,1009.56,0.482,354.41,365.28,644.28,178.88,5000.0,2605.71,2394.29,2.11,1.63,1.09,0.1289,10-20%,1085.01,2380.19,2094.57,1009.56,12,198.35,90.42,10-20%,285.62,Aug,Bravo
2024-11-03,2024,11,Nov,Alpha,SMB,Germany,8,246.07,119.31,1968.56,137.8,1830.76,954.51,876.25,0.4786,241.32,244.56,631.69,102.87,5000.0,3249.97,1750.03,1.59,1.22,1.86,0.1263,5-10%,954.51,1968.56,1830.76,876.25,8,246.07,119.31,5-10%,137.8,Nov,Alpha
2023-06-20,2023,6,Jun,Cobalt,Consumer,USA,9,117.15,42.58,1054.33,126.52,927.81,383.2,544.61,0.587,130.62,129.26,415.34,50.85,5000.0,3093.82,1906.18,1.63,1.24,1.62,0.0831,10-20%,383.2,1054.33,927.81,544.61,9,117.15,42.58,10-20%,126.52,Jun,Cobalt
2024-08-28,2024,8,Aug,Alpha,SMB,USA,13,246.17,105.54,3200.26,96.01,3104.25,1372.04,1732.21,0.558,678.3,686.69,1045.52,143.74,5412.26,3003.21,2409.05,2.19,1.83,1.25,0.1932,0-5%,1372.04,3200.26,3104.25,1732.21,13,246.17,105.54,0-5%,96.01,Aug,Alpha
2024-10-16,2024,10,Oct,Echo,Enterprise,India,9,175.53,82.72,1579.78,110.58,1469.19,744.46,724.73,0.4933,370.38,360.43,364.3,118.71,5000.0,1919.22,3080.78,2.04,1.59,0.62,0.0729,5-10%,744.46,1579.78,1469.19,724.73,9,175.53,82.72,5-10%,110.58,Oct,Echo
2024-08-13,2024,8,Aug,Alpha,Consumer,Canada,10,239.63,117.69,2396.29,0.0,2396.29,1176.88,1219.41,0.5089,563.76,602.34,617.07,171.96,5000.0,2539.07,2460.93,1.87,1.33,1.03,0.1234,0-5%,1176.88,2396.29,2396.29,1219.41,10,239.63,117.69,0-5%,0.0,Aug,Alpha
2023-04-14,2023,4,Apr,Echo,SMB,India,9,183.99,90.16,1655.92,49.68,1606.24,811.46,794.78,0.4948,286.84,292.79,501.99,124.04,5000.0,2882.32,2117.68,1.99,1.6,1.36,0.1004,0-5%,811.46,1655.92,1606.24,794.78,9,183.99,90.16,0-5%,49.68,Apr,Echo
2023-11-24,2023,11,Nov,Delta,Consumer,USA,9,98.97,35.21,890.77,106.89,783.88,316.91,466.97,0.5957,165.62,171.7,295.27,50.0,5000.0,2361.94,2638.06,2.03,1.72,0.9,0.0591,10-20%,316.91,890.77,783.88,466.97,9,98.97,35.21,10-20%,106.89,Nov,Delta
2025-11-24,2025,11,Nov,Alpha,Consumer,UK,9,195.85,100.8,1762.64,0.0,1762.64,907.22,855.41,0.4853,313.37,319.6,535.82,196.64,5000.0,2638.16,2361.84,1.93,1.46,1.12,0.1072,0-5%,907.22,1762.64,1762.64,855.41,9,195.85,100.8,0-5%,0.0,Nov,Alpha
2023-05-30,2023,5,May,Delta,Consumer,Canada,7,135.82,67.01,950.71,0.0,950.71,469.05,481.66,0.5066,150.69,142.1,339.56,61.86,5000.0,1831.63,3168.37,1.56,1.08,0.58,0.0679,0-5%,469.05,950.71,950.71,481.66,7,135.82,67.01,0-5%,0.0,May,Delta
2024-04-21,2024,4,Apr,Bravo,Consumer,India,2,236.45,127.38,472.9,14.19,458.71,254.77,203.95,0.4446,62.85,62.52,141.43,50.0,5000.0,2908.92,2091.08,1.44,1.11,1.39,0.0283,0-5%,254.77,472.9,458.71,203.95,2,236.45,127.38,0-5%,14.19,Apr,Bravo
2023-04-08,2023,4,Apr,Bravo,SMB,USA,10,210.24,76.62,2102.37,252.28,1850.08,766.18,1083.9,0.5859,325.8,309.36,774.54,168.31,5000.0,3092.67,1907.33,1.91,1.45,1.62,0.1549,10-20%,766.18,2102.37,1850.08,1083.9,10,210.24,76.62,10-20%,252.28,Apr,Bravo
2023-05-14,2023,5,May,Cobalt,Consumer,USA,11,180.63,90.57,1986.89,238.43,1748.47,996.3,752.17,0.4302,224.3,210.49,541.68,106.02,5000.0,3238.17,1761.83,1.95,1.4,1.84,0.1083,10-20%,996.3,1986.89,1748.47,752.17,11,180.63,90.57,10-20%,238.43,May,Cobalt
2023-05-03,2023,5,May,Cobalt,Enterprise,India,13,244.74,124.13,3181.67,795.42,2386.25,1613.71,772.55,0.3237,436.05,413.74,358.8,240.99,5000.0,2031.98,2968.02,1.48,1.24,0.68,0.0718,20%+,1613.71,3181.67,2386.25,772.55,13,244.74,124.13,20%+,795.42,May,Cobalt
2025-09-15,2025,9,Sep,Alpha,SMB,USA,8,204.18,101.41,1633.47,49.0,1584.47,811.3,773.17,0.488,403.52,410.28,362.88,132.85,5000.0,2359.39,2640.61,2.01,1.49,0.89,0.0726,0-5%,811.3,1633.47,1584.47,773.17,8,204.18,101.41,0-5%,49.0,Sep,Alpha
2024-03-13,2024,3,Mar,Cobalt,Consumer,USA,8,197.12,95.13,1576.94,0.0,1576.94,761.02,815.92,0.5174,217.48,215.97,599.94,77.47,5000.0,2072.4,2927.6,1.81,1.49,0.71,0.12,0-5%,761.02,1576.94,1576.94,815.92,8,197.12,95.13,0-5%,0.0,Mar,Cobalt
2025-10-15,2025,10,Oct,Bravo,SMB,USA,9,161.51,62.81,1453.58,0.0,1453.58,565.31,888.27,0.6111,372.87,357.93,530.34,108.62,5000.0,2126.12,2873.88,1.72,1.44,0.74,0.1061,0-5%,565.31,1453.58,1453.58,888.27,9,161.51,62.81,0-5%,0.0,Oct,Bravo
2024-11-24,2024,11,Nov,Alpha,Consumer,USA,13,270.82,106.35,3520.69,0.0,3520.69,1382.51,2138.19,0.6073,633.37,675.69,1462.5,167.29,6972.02,4211.61,2760.41,1.39,0.86,1.53,0.2098,0-5%,1382.51,3520.69,3520.69,2138.19,13,270.82,106.35,0-5%,0.0,Nov,Alpha
2023-09-15,2023,9,Sep,Alpha,Consumer,India,11,247.05,115.25,2717.53,81.53,2636.01,1267.75,1368.25,0.5191,600.73,636.73,731.53,206.17,5474.71,2517.74,2956.97,1.43,1.05,0.85,0.1336,0-5%,1267.75,2717.53,2636.01,1368.25,11,247.05,115.25,0-5%,81.53,Sep,Alpha
2024-04-22,2024,4,Apr,Flux,Consumer,USA,11,212.71,88.96,2339.82,280.78,2059.04,978.52,1080.52,0.5248,290.5,272.06,808.46,173.78,5000.0,2534.24,2465.76,2.14,1.69,1.03,0.1617,10-20%,978.52,2339.82,2059.04,1080.52,11,212.71,88.96,10-20%,280.78,Apr,Flux
2023-12-17,2023,12,Dec,Flux,Consumer,USA,10,179.09,96.76,1790.86,214.9,1575.95,967.61,608.34,0.386,422.64,394.93,213.41,157.44,5000.0,2979.99,2020.01,1.76,1.31,1.48,0.0427,10-20%,967.61,1790.86,1575.95,608.34,10,179.09,96.76,10-20%,214.9,Dec,Flux
2023-09-23,2023,9,Sep,Echo,Enterprise,USA,11,197.8,90.78,2175.79,152.31,2023.48,998.6,1024.89,0.5065,469.41,450.64,574.24,169.68,5000.0,2905.74,2094.26,1.79,1.48,1.39,0.1148,5-10%,998.6,2175.79,2023.48,1024.89,11,197.8,90.78,5-10%,152.31,Sep,Echo
2023-07-20,2023,7,Jul,Bravo,SMB,USA,7,292.28,112.44,2045.93,61.38,1984.55,787.1,1197.45,0.6034,448.65,477.69,719.76,155.44,5000.0,3120.04,1879.96,1.49,1.18,1.66,0.144,0-5%,787.1,2045.93,1984.55,1197.45,7,292.28,112.44,0-5%,61.38,Jul,Bravo
2025-02-22,2025,2,Feb,Alpha,Enterprise,USA,6,352.45,130.77,2114.72,148.03,1966.69,784.63,1182.06,0.601,360.48,339.18,842.88,153.97,5000.0,2482.9,2517.1,1.86,1.62,0.99,0.1686,5-10%,784.63,2114.72,1966.69,1182.06,6,352.45,130.77,5-10%,148.03,Feb,Alpha
2024-03-03,2024,3,Mar,Flux,Consumer,USA,10,213.55,112.86,2135.45,149.48,1985.97,1128.56,857.41,0.4317,535.19,505.81,351.6,195.79,5000.0,2576.88,2423.12,1.62,1.03,1.06,0.0703,5-10%,1128.56,2135.45,1985.97,857.41,10,213.55,112.86,5-10%,149.48,Mar,Flux
2023-09-05,2023,9,Sep,Bravo,Consumer,Germany,5,253.17,132.31,1265.87,316.47,949.4,661.56,287.84,0.3032,249.95,234.61,53.23,124.53,5000.0,2858.96,2141.04,1.77,1.23,1.34,0.0106,20%+,661.56,1265.87,949.4,287.84,5,253.17,132.31,20%+,316.47,Sep,Bravo
2024-06-06,2024,6,Jun,Flux,Consumer,USA,8,205.52,110.61,1644.13,411.03,1233.1,884.84,348.25,0.2824,206.31,192.57,155.68,141.36,5000.0,2087.1,2912.9,1.48,1.07,0.72,0.0311,20%+,884.84,1644.13,1233.1,348.25,8,205.52,110.61,20%+,411.03,Jun,Flux
2025-01-18,2025,1,Jan,Alpha,Consumer,USA,7,257.16,129.99,1800.12,126.01,1674.11,909.95,764.16,0.4565,449.74,444.55,319.61,198.0,5000.0,1845.34,3154.66,1.83,1.27,0.58,0.0639,5-10%,909.95,1800.12,1674.11,764.16,7,257.16,129.99,5-10%,126.01,Jan,Alpha
2023-11-19,2023,11,Nov,Cobalt,Enterprise,USA,10,282.83,151.42,2828.31,0.0,2828.31,1514.22,1314.09,0.4646,577.93,571.82,742.27,237.66,5000.0,3038.38,1961.62,1.81,1.41,1.55,0.1485,0-5%,1514.22,2828.31,2828.31,1314.09,10,282.83,151.42,0-5%,0.0,Nov,Cobalt
2023-01-05,2023,1,Jan,Flux,SMB,USA,8,298.66,121.99,2389.31,597.33,1791.99,975.89,816.09,0.4554,226.14,210.68,605.41,117.07,5000.0,2710.59,2289.41,2.05,1.6,1.18,0.1211,20%+,975.89,2389.31,1791.99,816.09,8,298.66,121.99,20%+,597.33,Jan,Flux
2023-12-25,2023,12,Dec,Alpha,SMB,USA,9,245.41,86.7,2208.68,0.0,2208.68,780.31,1428.38,0.6467,615.03,632.16,796.21,128.22,5000.0,2259.72,2740.28,1.69,1.24,0.82,0.1592,0-5%,780.31,2208.68,2208.68,1428.38,9,245.41,86.7,0-5%,0.0,Dec,Alpha
2024-12-25,2024,12,Dec,Flux,Consumer,India,12,116.73,46.5,1400.8,98.06,1302.75,558.0,744.75,0.5717,197.87,195.02,549.73,111.99,5000.0,3171.83,1828.17,2.08,1.51,1.73,0.1099,5-10%,558.0,1400.8,1302.75,744.75,12,116.73,46.5,5-10%,98.06,Dec,Flux
2023-10-15,2023,10,Oct,Delta,Enterprise,USA,9,202.51,83.26,1822.55,54.68,1767.87,749.35,1018.52,0.5761,373.97,355.11,663.41,89.95,5000.0,2506.54,2493.46,1.88,1.38,1.01,0.1327,0-5%,749.35,1822.55,1767.87,1018.52,9,202.51,83.26,0-5%,54.68,Oct,Delta
2023-02-15,2023,2,Feb,Delta,Enterprise,USA,12,215.17,95.05,2582.09,77.46,2504.63,1140.54,1364.09,0.5446,457.38,480.2,883.89,187.75,5000.0,2234.77,2765.23,1.41,0.84,0.81,0.1768,0-5%,1140.54,2582.09,2504.63,1364.09,12,215.17,95.05,0-5%,77.46,Feb,Delta
2023-05-04,2023,5,May,Echo,Consumer,USA,13,273.59,112.52,3556.68,248.97,3307.71,1462.78,1844.93,0.5578,457.93,472.71,1372.22,301.39,6531.16,4067.6,2463.56,1.61,1.3,1.65,0.2101,5-10%,1462.78,3556.68,3307.71,1844.93,13,273.59,112.52,5-10%,248.97,May,Echo
2024-07-14,2024,7,Jul,Delta,Consumer,India,9,279.13,126.77,2512.15,0.0,2512.15,1140.96,1371.2,0.5458,552.54,590.87,780.32,242.36,5000.0,2068.36,2931.64,1.77,1.35,0.71,0.1561,0-5%,1140.96,2512.15,2512.15,1371.2,9,279.13,126.77,0-5%,0.0,Jul,Delta
2023-06-15,2023,6,Jun,Echo,Consumer,India,8,251.73,104.74,2013.86,0.0,2013.86,837.89,1175.97,0.5839,490.51,483.77,692.2,122.98,5000.0,2393.31,2606.69,1.19,0.82,0.92,0.1384,0-5%,837.89,2013.86,2013.86,1175.97,8,251.73,104.74,0-5%,0.0,Jun,Echo
2025-12-10,2025,12,Dec,Alpha,Consumer,USA,12,175.03,81.55,2100.38,0.0,2100.38,978.6,1121.78,0.5341,452.97,419.13,702.65,150.71,5000.0,2313.82,2686.18,1.43,1.04,0.86,0.1405,0-5%,978.6,2100.38,2100.38,1121.78,12,175.03,81.55,0-5%,0.0,Dec,Alpha
2025-12-13,2025,12,Dec,Alpha,SMB,UK,10,278.43,134.08,2784.31,334.12,2450.2,1340.85,1109.35,0.4528,464.8,441.46,667.89,134.32,5000.0,2088.22,2911.78,1.94,1.61,0.72,0.1336,10-20%,1340.85,2784.31,2450.2,1109.35,10,278.43,134.08,10-20%,334.12,Dec,Alpha
2023-09-18,2023,9,Sep,Bravo,Consumer,India,8,212.96,111.89,1703.7,0.0,1703.7,895.12,808.59,0.4746,302.25,323.64,484.95,184.88,5000.0,2069.78,2930.22,1.5,1.06,0.71,0.097,0-5%,895.12,1703.7,1703.7,808.59,8,212.96,111.89,0-5%,0.0,Sep,Bravo
2023-07-12,2023,7,Jul,Flux,Consumer,USA,11,312.13,111.16,3433.47,103.0,3330.47,1222.75,2107.72,0.6329,505.56,490.28,1617.44,185.0,5898.52,2266.59,3631.94,1.57,1.35,0.62,0.2742,0-5%,1222.75,3433.47,3330.47,2107.72,11,312.13,111.16,0-5%,103.0,Jul,Flux
2025-11-06,2025,11,Nov,Bravo,Consumer,USA,6,237.54,94.89,1425.22,42.76,1382.46,569.35,813.11,0.5882,260.14,243.18,569.93,73.13,5000.0,1961.84,3038.16,2.24,1.84,0.65,0.114,0-5%,569.35,1425.22,1382.46,813.11,6,237.54,94.89,0-5%,42.76,Nov,Bravo
2025-06-25,2025,6,Jun,Alpha,Consumer,Germany,4,212.88,78.33,851.53,0.0,851.53,313.33,538.21,0.632,104.52,105.96,432.25,59.22,5000.0,2705.34,2294.66,1.82,1.36,1.18,0.0864,0-5%,313.33,851.53,851.53,538.21,4,212.88,78.33,0-5%,0.0,Jun,Alpha
