Month,Year,Quarter,Business_Unit,Region,Actual_Revenue,Budget_Revenue,Forecast_Revenue,Actual_COGS,Budget_COGS,Forecast_COGS,Actual_Opex,Budget_Opex,Forecast_Opex,Assets,Operating_Cash_Flow,Headcount
2024-03-01,2024,Q1,Digital,East,723450.89,707644.62,728369.72,253612.12,254752.06,263669.84,246030.19,240599.17,250559.18,1012831.25,176329.94,56
2024-03-01,2024,Q1,Digital,Central,623207.54,636013.26,631916.96,224145.29,228964.77,228753.94,212299.67,216244.51,217379.43,872490.55,144873.42,50
2024-03-01,2024,Q1,Digital,West,702721.1,670966.56,674281.73,260284.44,241547.96,244089.99,242094.28,228128.63,231952.91,983809.54,146273.52,54
2024-03-01,2024,Q1,Services,East,545910.65,525620.26,540655.53,235880.1,220760.51,228156.64,176580.73,162942.28,169765.84,873457.04,100522.7,51
2024-03-01,2024,Q1,Services,Central,452463.16,463411.38,464823.31,185294.76,194632.78,196155.44,139978.16,143657.53,145954.52,723941.06,116641.31,45
2024-03-01,2024,Q1,Services,West,511150.52,494626.5,497334.77,214171.14,207743.13,209875.27,167002.86,153334.22,156163.12,817840.83,119459.41,49
2024-04-01,2024,Q2,Enterprise,East,1734148.18,1688818.88,1675250.67,824959.27,810633.06,807470.82,497806.8,455981.1,459018.68,3641711.18,343848.01,109
2024-04-01,2024,Q2,Enterprise,Central,1556312.86,1511280.39,1492498.86,751992.66,725414.59,719384.45,425006.49,408045.71,408944.69,3268257.0,337795.54,97
2024-04-01,2024,Q2,Enterprise,West,1687087.93,1605102.67,1586812.55,797708.23,770449.28,764843.65,465384.98,433377.72,434786.64,3542884.65,362533.51,105
2024-04-01,2024,Q2,SMB,East,934491.9,966393.86,990614.52,499393.97,521852.68,536913.07,276455.95,280254.22,291240.67,1588636.23,133874.21,77
2024-04-01,2024,Q2,SMB,Central,881596.08,869967.03,877383.69,486907.6,469782.2,475541.96,250485.93,252290.44,257950.81,1498713.33,124481.17,69
2024-04-01,2024,Q2,SMB,West,924636.57,929676.74,943832.05,495420.21,502025.44,511556.97,265819.44,269606.25,277486.62,1571882.17,142216.26,74
2024-04-01,2024,Q2,Digital,East,703319.37,702737.12,723770.35,262970.06,252985.36,262004.87,232234.52,238930.62,248977.0,984647.12,158714.76,56
2024-04-01,2024,Q2,Digital,Central,663381.06,632800.39,648391.89,246022.18,227808.14,234717.86,224943.11,215152.13,223046.81,928733.49,144609.95,50
2024-04-01,2024,Q2,Digital,West,709138.0,691603.1,700265.78,264982.22,248977.12,253496.21,246510.05,235145.05,240891.43,992793.2,142614.17,54
2024-04-01,2024,Q2,Services,East,521546.96,529522.7,537387.43,225523.26,222399.53,226777.49,157522.17,164152.04,168739.65,834475.13,102918.51,51
2024-04-01,2024,Q2,Services,Central,468835.89,464045.84,462772.34,198657.76,194899.25,195289.93,149806.37,143854.21,145310.52,750137.42,91569.15,45
2024-04-01,2024,Q2,Services,West,497159.2,506582.45,510120.38,214543.46,212764.63,215270.8,160772.89,157040.56,160177.8,795454.71,89976.03,49
2024-05-01,2024,Q2,Enterprise,East,1652903.95,1682057.33,1657094.85,806698.28,807387.52,798719.72,458041.83,454155.48,454043.99,3471098.29,299814.27,109
2024-05-01,2024,Q2,Enterprise,Central,1535682.64,1520224.93,1526679.67,719085.56,729707.96,735859.6,399672.64,410460.73,418310.23,3224933.54,373823.32,98
2024-05-01,2024,Q2,Enterprise,West,1657038.25,1641348.55,1678372.09,800590.16,787847.31,808975.35,434877.78,443164.11,459873.95,3479780.33,314276.07,105
2024-05-01,2024,Q2,SMB,East,1011968.67,968485.46,988654.66,556965.56,522982.15,535850.83,308617.8,280860.78,290664.47,1720346.73,111547.85,77
2024-05-01,2024,Q2,SMB,Central,835438.35,865488.67,882889.52,460316.09,467363.88,478526.12,242436.96,250991.71,259569.52,1420245.19,112003.95,69
2024-05-01,2024,Q2,SMB,West,971768.16,927270.22,949438.71,537758.38,500725.92,514595.78,293788.01,268908.36,279134.98,1652005.87,125678.42,74
2024-05-01,2024,Q2,Digital,East,721793.65,701685.83,701649.58,268652.47,252606.9,253997.15,254119.76,238573.18,241367.46,1010511.11,177688.87,56
2024-05-01,2024,Q2,Digital,Central,631418.7,643201.79,656343.59,221508.3,231552.64,237596.38,223626.41,218688.61,225782.2,883986.18,166112.91,50
2024-05-01,2024,Q2,Digital,West,703906.69,679014.91,682894.56,250545.0,244445.37,247207.83,247676.86,230865.07,234915.73,985469.36,157455.66,54
2024-05-01,2024,Q2,Services,East,503733.46,517014.01,516896.02,216843.74,217145.88,218130.12,164724.2,160274.34,162305.35,805973.53,94779.06,51
2024-05-01,2024,Q2,Services,Central,469180.78,471553.72,485300.33,197966.89,198052.56,204796.74,153036.03,146181.65,152384.3,750689.25,87814.22,45
2024-05-01,2024,Q2,Services,West,497760.11,511647.88,526134.7,206521.73,214892.11,222028.84,149951.27,158610.84,165206.3,796416.18,114006.38,49
2024-06-01,2024,Q2,Enterprise,East,1655392.01,1678270.64,1698878.8,796735.21,805569.91,818859.58,446220.62,453133.07,465492.79,3476323.22,344515.2,109
2024-06-01,2024,Q2,Enterprise,Central,1519572.7,1481240.38,1459134.51,747728.47,710995.38,703302.83,416596.27,399934.9,399802.86,3191102.67,306893.74,98
2024-06-01,2024,Q2,Enterprise,West,1650612.4,1614981.31,1617226.08,775489.59,775191.03,779502.97,458749.97,436044.95,443119.95,3466286.04,327285.71,105
2024-06-01,2024,Q2,SMB,East,995805.49,957688.04,974341.22,533560.92,517151.54,528092.94,286073.55,277729.53,286456.32,1692869.33,141232.53,77
2024-06-01,2024,Q2,SMB,Central,846379.28,859647.49,851676.79,456140.54,464209.64,461608.82,259170.57,249297.77,250392.98,1438844.77,112124.04,69
2024-06-01,2024,Q2,SMB,West,953088.89,937570.69,936204.41,516808.99,506288.17,507422.79,264970.32,271895.5,275244.1,1620251.11,133173.11,74
2024-06-01,2024,Q2,Digital,East,711426.32,702297.52,712453.97,256177.28,252827.11,257908.34,242784.76,238781.16,245084.17,995996.84,162055.06,56
2024-06-01,2024,Q2,Digital,Central,657945.61,629541.89,642649.65,231867.91,226635.08,232639.17,217479.89,214044.24,221071.48,921123.86,171694.86,50
2024-06-01,2024,Q2,Digital,West,671863.75,679667.13,694503.62,246929.81,244680.17,251410.31,233932.12,231086.82,238909.24,940609.25,146102.67,54
2024-06-01,2024,Q2,Services,East,492022.47,513892.43,511846.07,206823.39,215834.82,215999.04,159165.4,159306.65,160719.67,787235.96,92580.01,51
2024-06-01,2024,Q2,Services,Central,471378.93,463054.8,460160.52,200857.02,194483.02,194187.74,147462.09,143546.99,144490.4,754206.28,94608.01,46
2024-06-01,2024,Q2,Services,West,478879.28,501153.29,510571.67,204970.48,210484.38,215461.24,144237.3,155357.52,160319.5,766206.84,104389.35,49
2024-07-01,2024,Q3,Enterprise,East,1702829.96,1620513.39,1633976.77,799147.77,777846.43,787576.8,452060.4,437538.61,447709.64,3575942.92,401793.13,110
2024-07-01,2024,Q3,Enterprise,Central,1514491.45,1463076.51,1485082.64,747682.02,702276.72,715809.83,417793.02,395030.66,406912.64,3180432.04,317607.7,98
2024-07-01,2024,Q3,Enterprise,West,1618472.64,1592569.13,1620227.8,778686.41,764433.18,780949.8,457893.54,429993.67,443942.42,3398792.54,316808.39,105
2024-07-01,2024,Q3,SMB,East,984852.37,956756.69,962842.0,526638.95,516648.61,521860.36,281093.8,277459.44,283075.55,1674249.03,150114.6,78
2024-07-01,2024,Q3,SMB,Central,859271.73,853188.52,864453.74,459830.28,460721.8,468533.93,240874.92,247424.67,254149.4,1460761.95,123229.29,69
2024-07-01,2024,Q3,SMB,West,891474.39,903242.78,911649.12,473905.76,487751.1,494113.82,254014.79,261940.41,268024.84,1515506.46,140458.4,75
2024-07-01,2024,Q3,Digital,East,668394.33,695213.67,697537.05,242030.86,250276.92,252508.41,227570.37,236372.65,239952.75,935752.06,151354.48,56
2024-07-01,2024,Q3,Digital,Central,645136.17,617069.47,624032.22,236173.77,222145.01,225899.66,228185.93,209803.62,214667.08,903190.63,157839.36,50
2024-07-01,2024,Q3,Digital,West,632818.82,662228.65,662777.74,232618.09,238402.32,239925.54,223766.91,225157.74,227995.54,885946.35,160675.82,54
2024-07-01,2024,Q3,Services,East,522983.21,507873.19,512736.56,221579.92,213306.74,216374.83,159309.14,157440.69,160999.28,836773.14,108543.5,51
2024-07-01,2024,Q3,Services,Central,435747.29,454897.34,454954.58,185479.18,191056.88,191990.83,135138.09,141018.17,142855.74,697195.66,86693.93,46
2024-07-01,2024,Q3,Services,West,473464.63,489236.25,495597.08,193505.53,205479.22,209141.97,146689.1,151663.24,155617.48,757543.41,110997.71,49
2024-08-01,2024,Q3,Enterprise,East,1613225.72,1582718.87,1568642.92,774355.05,759705.06,756085.89,418645.85,427334.09,429808.16,3387774.0,334423.64,110
2024-08-01,2024,Q3,Enterprise,Central,1407320.35,1424868.2,1452304.51,672498.27,683936.73,700010.77,394838.21,384714.41,397931.44,2955372.73,301356.55,98
2024-08-01,2024,Q3,Enterprise,West,1476433.41,1532856.92,1511201.1,711677.66,735771.32,728398.93,425208.74,413871.37,414069.1,3100510.17,268239.45,106
2024-08-01,2024,Q3,SMB,East,962662.41,931798.17,945149.87,527163.62,503171.01,512271.23,295044.82,270221.47,277874.06,1636526.1,106727.06,78
2024-08-01,2024,Q3,SMB,Central,794132.01,818491.77,810863.38,433124.31,441985.56,439487.95,234204.69,237362.61,238393.83,1350024.42,96825.88,70
2024-08-01,2024,Q3,SMB,West,926066.79,897621.34,890934.53,503584.41,484715.53,482886.51,278225.44,260310.19,261934.75,1574313.55,107169.43,75
2024-08-01,2024,Q3,Digital,East,719595.38,684369.46,677433.0,250899.62,246373.01,245230.74,242761.77,232685.62,233036.95,1007433.53,193279.62,56
2024-08-01,2024,Q3,Digital,Central,611920.06,615201.88,625768.38,214157.28,221472.68,226528.16,213387.8,209168.64,215264.32,856688.08,155879.54,51
2024-08-01,2024,Q3,Digital,West,665041.09,644264.78,659252.44,241816.06,231935.32,238649.38,220548.67,219050.02,226782.84,931057.52,185807.37,54
2024-08-01,2024,Q3,Services,East,498544.73,503722.81,505877.24,208209.65,211563.58,213480.19,156133.65,156154.07,158845.45,797671.57,105783.77,51
2024-08-01,2024,Q3,Services,Central,468673.61,451849.84,447218.04,202926.52,189776.93,188726.01,148601.19,140073.45,140426.46,749877.77,103760.97,46
2024-08-01,2024,Q3,Services,West,482746.01,483447.63,492159.73,209078.41,203048.0,207691.41,147769.75,149868.76,154538.16,772393.61,110996.56,49
2024-09-01,2024,Q3,Enterprise,East,1592285.38,1586969.42,1594270.84,775453.62,761745.32,768438.54,423630.5,428481.74,436830.21,3343799.29,350083.85,110
2024-09-01,2024,Q3,Enterprise,Central,1381098.08,1433170.48,1468531.67,655110.68,687921.83,707832.26,375577.54,386956.03,402377.68,2900305.96,295068.34,99
2024-09-01,2024,Q3,Enterprise,West,1455226.67,1519231.91,1554619.19,687926.15,729231.32,749326.45,384708.95,410192.61,425965.66,3055976.0,336514.71,106
2024-09-01,2024,Q3,SMB,East,950702.78,911479.98,926567.95,508799.95,492199.19,502199.83,264584.89,264329.19,272410.98,1616194.73,161290.61,78
2024-09-01,2024,Q3,SMB,Central,831594.61,809725.96,815382.71,455474.58,437252.02,441937.43,248412.51,234820.53,239722.52,1413710.83,108446.74,70
2024-09-01,2024,Q3,SMB,West,910937.34,880734.08,871211.05,486223.29,475596.4,472196.39,272145.82,255412.88,256136.05,1548593.48,119192.59,75
2024-09-01,2024,Q3,Digital,East,672485.42,670924.82,676890.34,241464.7,241532.94,245034.3,235624.14,228114.44,232850.28,941479.59,153612.64,57
2024-09-01,2024,Q3,Digital,Central,592022.36,602817.83,600595.34,207880.99,217014.42,217415.51,197603.76,204958.06,206604.8,828831.3,138767.37,51
2024-09-01,2024,Q3,Digital,West,664603.4,644483.31,640185.72,235021.04,232013.99,231747.23,227643.92,219124.32,220223.89,930444.77,174659.99,54
2024-09-01,2024,Q3,Services,East,503943.77,500210.35,499077.35,206926.2,210088.35,210610.64,153109.97,155065.21,156710.29,806310.03,110160.78,51
2024-09-01,2024,Q3,Services,Central,418191.46,437249.03,441200.05,173604.7,183644.59,186186.42,136844.31,135547.2,138536.82,669106.34,89498.62,46
2024-09-01,2024,Q3,Services,West,461734.18,477181.53,488672.42,194280.59,200416.24,206219.76,149685.72,147926.27,153443.14,738774.69,98314.13,49
2024-10-01,2024,Q4,Enterprise,East,1580818.42,1582326.57,1571719.23,741934.67,759516.75,757568.67,452480.67,427228.17,430651.07,3319718.69,315129.42,110
2024-10-01,2024,Q4,Enterprise,Central,1424505.67,1431562.2,1414861.17,689981.53,687149.86,681963.08,369813.46,386521.8,387671.96,2991461.9,273474.49,99
2024-10-01,2024,Q4,Enterprise,West,1504008.76,1526318.11,1571689.92,708508.06,732632.69,757554.54,422526.15,412105.89,430643.04,3158418.39,313769.89,106
2024-10-01,2024,Q4,SMB,East,902349.42,923054.72,930915.24,487010.05,498449.55,504556.06,262837.81,267685.87,273689.08,1533994.01,136036.47,78
2024-10-01,2024,Q4,SMB,Central,819230.03,831251.57,842013.14,445538.58,448875.85,456371.12,245935.05,241062.95,247551.86,1392691.04,116196.75,70
2024-10-01,2024,Q4,SMB,West,851646.57,872497.05,885339.56,453147.07,471148.41,479854.04,241198.58,253024.14,260289.83,1447799.16,115618.21,75
2024-10-01,2024,Q4,Digital,East,658763.62,658730.44,666451.75,234238.39,237142.96,241255.53,220649.11,223968.35,229259.4,922269.07,175617.09,57
2024-10-01,2024,Q4,Digital,Central,602540.69,602297.89,611893.89,224158.2,216827.24,221505.59,211874.3,204781.28,210491.5,843556.97,140701.35,51
2024-10-01,2024,Q4,Digital,West,677604.73,646343.15,649013.36,245400.4,232683.54,234942.84,235419.56,219756.67,223260.6,948646.63,177437.35,55
2024-10-01,2024,Q4,Services,East,478722.86,497560.0,493811.64,199147.71,208975.2,208388.51,153415.71,154243.6,155056.86,765956.58,105196.97,51
2024-10-01,2024,Q4,Services,Central,424041.28,438314.84,445323.72,180723.46,184092.23,187926.61,138356.31,135877.6,139831.65,678466.04,86078.35,46
2024-10-01,2024,Q4,Services,West,456360.44,473872.79,467614.7,191321.24,199026.57,197333.4,140408.25,146900.57,146831.02,730176.7,95975.0,49
2024-11-01,2024,Q4,Enterprise,East,1666209.47,1585068.08,1620919.37,804704.49,760832.68,781283.13,477408.32,427968.38,444131.91,3499039.89,353336.09,111
2024-11-01,2024,Q4,Enterprise,Central,1417988.23,1444051.78,1425005.35,691500.38,693144.85,686852.58,385855.9,389893.98,390451.47,2977775.29,289639.99,99
2024-11-01,2024,Q4,Enterprise,West,1520912.15,1562877.1,1580599.87,736888.63,750181.01,761849.14,414831.49,421976.82,433084.36,3193915.52,272555.46,106
2024-11-01,2024,Q4,SMB,East,912185.41,922955.53,936943.85,501976.6,498395.99,507823.57,262612.81,267657.1,275461.49,1550715.2,126745.82,78
2024-11-01,2024,Q4,SMB,Central,865619.69,824777.25,842601.08,469427.73,445379.72,456689.78,252453.46,239185.4,247724.72,1471553.47,112533.36,70
2024-11-01,2024,Q4,SMB,West,933282.19,887134.79,889962.87,505259.85,479052.79,482359.87,287118.27,257269.09,261649.08,1586579.71,119984.34,75
2024-11-01,2024,Q4,Digital,East,675930.37,678423.75,673974.11,241581.75,244232.55,243978.63,237044.25,230664.07,231847.09,946302.52,166738.33,57
2024-11-01,2024,Q4,Digital,Central,596241.66,611306.81,617245.59,221873.14,220070.45,223442.9,203403.96,207844.32,212332.48,834738.33,146969.69,51
2024-11-01,2024,Q4,Digital,West,678052.86,644344.2,652333.57,240181.06,231963.91,236144.75,225623.0,219077.03,224402.75,949274.01,176202.12,55
2024-11-01,2024,Q4,Services,East,482195.01,500035.83,514862.68,208181.03,210015.05,217272.05,150369.35,155011.11,161666.88,771512.02,91928.95,52
2024-11-01,2024,Q4,Services,Central,453587.75,451404.06,459189.49,191065.07,189589.7,193777.97,138889.81,139935.26,144185.5,725740.4,109655.52,46
2024-11-01,2024,Q4,Services,West,477104.5,487152.96,491930.43,199416.91,204604.24,207594.64,155371.96,151017.42,154466.16,763367.19,100500.41,50
2024-12-01,2024,Q4,Enterprise,East,1733046.9,1664146.74,1659871.77,846663.01,798790.44,800058.19,468699.54,449319.62,454804.87,3639398.49,378776.92,111
2024-12-01,2024,Q4,Enterprise,Central,1527982.82,1473386.56,1470038.67,726956.86,707225.55,708558.64,421124.49,397814.37,402790.59,3208763.93,349425.96,99
2024-12-01,2024,Q4,Enterprise,West,1534557.87,1582247.54,1596861.38,731943.01,759478.82,769687.18,421324.41,427206.84,437540.02,3222571.53,315970.06,107
2024-12-01,2024,Q4,SMB,East,937241.13,949414.77,943233.47,511860.14,512683.98,511232.54,276630.4,275330.28,277310.64,1593309.92,114048.93,79
2024-12-01,2024,Q4,SMB,Central,823257.61,858127.86,874013.3,449775.21,463389.05,473715.21,248905.57,248857.08,256959.91,1399537.93,99314.61,70
2024-12-01,2024,Q4,SMB,West,953032.64,918962.34,945737.98,515474.91,496239.66,512589.98,266001.5,266499.08,278046.96,1620155.49,140754.72,76
2024-12-01,2024,Q4,Digital,East,725850.24,696613.35,713567.92,260905.39,250780.81,258311.59,249531.73,236848.54,245467.37,1016190.33,174783.11,57
2024-12-01,2024,Q4,Digital,Central,623596.91,626102.66,635159.33,219514.46,225396.96,229927.68,213322.97,212874.9,218494.81,873035.67,174323.78,51
2024-12-01,2024,Q4,Digital,West,681171.85,665031.23,674503.04,252132.96,239411.24,244170.1,240842.09,226110.62,232029.05,953640.59,167846.78,55
2024-12-01,2024,Q4,Services,East,503265.23,510066.4,518912.11,215268.91,214227.89,218980.91,163144.24,158120.58,162938.4,805224.37,90789.92,52
2024-12-01,2024,Q4,Services,Central,460541.78,452347.02,464307.89,199844.31,189985.75,195937.93,147558.96,140227.58,145792.68,736866.85,91279.5,46
2024-12-01,2024,Q4,Services,West,495414.82,486475.93,498280.79,207844.18,204319.89,210274.49,157948.17,150807.54,156460.17,792663.72,116749.0,50
2025-01-01,2025,Q1,Enterprise,East,1732694.33,1674724.82,1671712.91,827787.56,803867.92,805765.62,454601.98,452175.7,458049.34,3638658.09,372056.8,111
2025-01-01,2025,Q1,Enterprise,Central,1575151.53,1522986.28,1511791.21,740404.98,731033.41,728683.36,447540.22,411206.3,414230.79,3307818.2,326779.71,100
2025-01-01,2025,Q1,Enterprise,West,1695472.07,1620471.93,1606601.17,813809.47,777826.53,774381.76,450350.14,437527.42,440208.72,3560491.35,332570.09,107
2025-01-01,2025,Q1,SMB,East,1000818.63,966541.86,991241.28,546064.54,521932.6,537252.77,282970.73,280297.14,291424.94,1701391.67,138860.39,79
2025-01-01,2025,Q1,SMB,Central,886167.61,874141.89,886163.3,477672.73,472036.62,480300.51,253003.46,253501.15,260532.01,1506484.93,138241.32,71
2025-01-01,2025,Q1,SMB,West,928987.88,935094.68,941401.3,496234.99,504951.13,510239.51,274197.91,271177.46,276771.98,1579279.4,132387.44,76
2025-01-01,2025,Q1,Digital,East,716206.95,727465.88,748567.85,261497.17,261887.72,270981.56,240813.42,247338.4,257507.34,1002689.73,178215.41,57
2025-01-01,2025,Q1,Digital,Central,664362.9,645346.55,637090.62,241673.01,232324.76,230626.81,227811.25,219417.83,219159.17,930108.06,175552.73,51
2025-01-01,2025,Q1,Digital,West,709039.43,685137.7,693577.18,253240.77,246649.57,251074.94,246106.55,232946.82,238590.55,992655.2,177017.52,55
2025-01-01,2025,Q1,Services,East,545424.26,531036.96,538823.65,234421.58,223035.52,227383.58,172816.28,164621.46,169190.63,872678.82,124461.82,52
2025-01-01,2025,Q1,Services,Central,468258.62,474958.72,477256.12,198105.67,199482.66,201402.08,149829.08,147237.2,149858.42,749213.79,88802.23,46
2025-01-01,2025,Q1,Services,West,519996.24,504974.22,501390.82,213945.25,212089.17,211586.93,163373.58,156542.01,157436.72,831993.98,130449.65,50
2025-02-01,2025,Q1,Enterprise,East,1833632.1,1752410.17,1791613.81,870390.72,841156.88,863557.85,518442.41,473150.75,490902.18,3850627.4,363120.33,112
2025-02-01,2025,Q1,Enterprise,Central,1628694.4,1581785.08,1582168.17,767105.96,759256.84,762605.06,467250.92,427081.97,433514.08,3420258.24,295024.17,100
2025-02-01,2025,Q1,Enterprise,West,1777699.97,1707661.83,1737699.18,877256.71,819677.68,837571.0,510232.06,461068.69,476129.57,3733169.94,343743.89,107
2025-02-01,2025,Q1,SMB,East,1041817.55,1007494.05,993012.67,564613.94,544046.79,538212.87,303839.4,292173.27,291945.73,1771089.84,148151.1,79
2025-02-01,2025,Q1,SMB,Central,922524.45,910275.77,930309.83,509646.41,491548.92,504227.93,259460.36,263979.97,273511.09,1568291.57,117635.22,71
2025-02-01,2025,Q1,SMB,West,1000816.85,959166.5,969010.74,552247.39,517949.91,525203.82,284873.52,278158.28,284889.16,1701388.64,119930.75,76
2025-02-01,2025,Q1,Digital,East,780693.24,746404.35,745358.3,279968.85,268705.56,269819.71,259341.07,253777.48,256403.26,1092970.53,219478.34,57
2025-02-01,2025,Q1,Digital,Central,660700.2,657895.95,650904.91,245165.19,236842.54,235627.58,219398.66,223684.62,223911.29,924980.28,159013.37,51
2025-02-01,2025,Q1,Digital,West,735648.92,714698.25,734401.65,264022.41,257291.37,265853.4,257674.33,242997.4,252634.17,1029908.49,160657.68,55
2025-02-01,2025,Q1,Services,East,524230.65,543299.28,547113.57,219448.72,228185.7,230881.93,171185.24,168422.78,171793.66,838769.04,97063.77,52
2025-02-01,2025,Q1,Services,Central,485411.95,485733.36,499224.59,208844.47,204008.01,210672.78,146099.6,150577.34,156756.52,776659.12,111828.73,46
2025-02-01,2025,Q1,Services,West,552331.62,524638.95,525237.21,231068.84,220348.36,221650.1,167739.94,162638.07,164924.48,883730.6,114287.31,50
2025-03-01,2025,Q1,Enterprise,East,1812303.08,1811448.55,1838302.54,878394.88,869495.3,886061.82,500040.48,489091.11,503694.89,3805836.46,314238.02,112
2025-03-01,2025,Q1,Enterprise,Central,1585313.65,1618729.25,1603620.97,765197.65,776990.04,772945.31,412273.98,437056.9,439392.14,3329158.66,356058.92,100
2025-03-01,2025,Q1,Enterprise,West,1669280.88,1709286.5,1750542.34,795483.37,820457.52,843761.41,438063.75,461507.36,479648.6,3505489.85,392206.67,108
2025-03-01,2025,Q1,SMB,East,1062022.81,1020351.05,1011689.25,564337.46,550989.57,548335.57,303228.36,295901.8,297436.64,1805438.78,146795.47,79
2025-03-01,2025,Q1,SMB,Central,892240.52,931767.96,918414.53,489429.26,503154.7,497780.68,254411.63,270212.71,270013.87,1516808.88,116457.25,71
2025-03-01,2025,Q1,SMB,West,947376.56,986604.03,1004735.16,513173.25,532766.18,544566.46,284563.46,286115.17,295392.14,1610540.15,121993.77,76
