Month,Department,Account,Budget,Actual,Variance,VariancePct
2025-02-01,Marketing,Travel,4807.6,5085.99,278.39,0.057907
2025-02-01,Marketing,Facilities,6524.6,6650.87,126.27,0.019353
2025-02-01,Marketing,Other OpEx,9271.8,9959.48,687.68,0.074169
2025-02-01,R&D,Revenue,118776.0,119214.3,438.3,0.00369
2025-02-01,R&D,COGS,49885.92,50336.13,450.21,0.009025
2025-02-01,R&D,Payroll,73556.28,77665.92,4109.64,0.055871
2025-02-01,R&D,Software,15143.94,16314.7,1170.76,0.077309
2025-02-01,R&D,Travel,4807.6,5149.32,341.72,0.071079
2025-02-01,R&D,Facilities,6524.6,6900.72,376.12,0.057647
2025-02-01,R&D,Other OpEx,9271.8,10011.97,740.17,0.07983
2025-02-01,Operations,Revenue,98980.0,96973.47,-2006.53,-0.020272
2025-02-01,Operations,COGS,41571.6,40847.28,-724.32,-0.017423
2025-02-01,Operations,Payroll,52540.2,52835.7,295.5,0.005624
2025-02-01,Operations,Software,10817.1,11158.41,341.31,0.031553
2025-02-01,Operations,Travel,4807.6,5080.57,272.97,0.056779
2025-02-01,Operations,Facilities,6524.6,6738.68,214.08,0.032811
2025-02-01,Operations,Other OpEx,9271.8,9648.01,376.21,0.040576
2025-02-01,G&A,Revenue,69286.0,67207.63,-2078.37,-0.029997
2025-02-01,G&A,COGS,29100.12,29633.72,533.6,0.018337
2025-02-01,G&A,Payroll,52540.2,54759.78,2219.58,0.042245
2025-02-01,G&A,Software,10817.1,11478.92,661.82,0.061183
2025-02-01,G&A,Travel,4807.6,5161.57,353.97,0.073628
2025-02-01,G&A,Facilities,6524.6,6752.04,227.44,0.034859
2025-02-01,G&A,Other OpEx,9271.8,9551.52,279.72,0.030169
2025-03-01,Sales,Revenue,449820.0,459490.73,9670.73,0.021499
2025-03-01,Sales,COGS,188924.4,188772.87,-151.53,-0.000802
2025-03-01,Sales,Payroll,53060.4,53348.92,288.52,0.005438
2025-03-01,Sales,Software,10924.2,11170.84,246.64,0.022577
2025-03-01,Sales,Travel,5826.24,6115.36,289.12,0.049624
2025-03-01,Sales,Facilities,6589.2,6836.64,247.44,0.037553
2025-03-01,Sales,Other OpEx,9363.6,9960.79,597.19,0.063778
2025-03-01,Marketing,Revenue,159936.0,158994.63,-941.37,-0.005886
2025-03-01,Marketing,COGS,67173.12,68310.85,1137.73,0.016937
2025-03-01,Marketing,Payroll,53060.4,55009.78,1949.38,0.036739
2025-03-01,Marketing,Software,10924.2,11605.18,680.98,0.062337
2025-03-01,Marketing,Travel,4855.2,5414.74,559.54,0.115245
2025-03-01,Marketing,Facilities,6589.2,7058.24,469.04,0.071183
2025-03-01,Marketing,Other OpEx,9363.6,10390.11,1026.51,0.109628
2025-03-01,R&D,Revenue,119952.0,116857.29,-3094.71,-0.0258
2025-03-01,R&D,COGS,50379.84,52944.79,2564.95,0.050912
2025-03-01,R&D,Payroll,74284.56,82523.01,8238.46,0.110904
2025-03-01,R&D,Software,15293.88,17338.36,2044.48,0.13368
2025-03-01,R&D,Travel,4855.2,5421.25,566.05,0.116586
2025-03-01,R&D,Facilities,6589.2,7138.02,548.82,0.083291
2025-03-01,R&D,Other OpEx,9363.6,10135.83,772.23,0.082472
2025-03-01,Operations,Revenue,99960.0,97073.54,-2886.46,-0.028876
2025-03-01,Operations,COGS,41983.2,43653.84,1670.64,0.039793
2025-03-01,Operations,Payroll,53060.4,56162.03,3101.63,0.058455
2025-03-01,Operations,Software,10924.2,11676.21,752.01,0.068839
2025-03-01,Operations,Travel,4855.2,5204.52,349.32,0.071947
2025-03-01,Operations,Facilities,6589.2,6759.28,170.09,0.025813
2025-03-01,Operations,Other OpEx,9363.6,9531.19,167.59,0.017899
2025-03-01,G&A,Revenue,69972.0,69015.58,-956.42,-0.013669
2025-03-01,G&A,COGS,29388.24,31306.54,1918.3,0.065274
2025-03-01,G&A,Payroll,53060.4,56770.68,3710.28,0.069926
2025-03-01,G&A,Software,10924.2,11643.73,719.53,0.065865
2025-03-01,G&A,Travel,4855.2,5138.53,283.33,0.058356
2025-03-01,G&A,Facilities,6589.2,6645.61,56.41,0.008562
2025-03-01,G&A,Other OpEx,9363.6,9410.66,47.06,0.005026
2025-04-01,Sales,Revenue,454230.0,447655.33,-6574.67,-0.014474
2025-04-01,Sales,COGS,190776.6,190816.71,40.11,0.00021
2025-04-01,Sales,Payroll,53580.6,54898.07,1317.47,0.024588
2025-04-01,Sales,Software,11031.3,11580.58,549.28,0.049793
2025-04-01,Sales,Travel,5883.36,6309.64,426.27,0.072454
2025-04-01,Sales,Facilities,6653.8,6952.15,298.35,0.044839
2025-04-01,Sales,Other OpEx,9455.4,9918.22,462.82,0.048947
2025-04-01,Marketing,Revenue,161504.0,156804.04,-4699.96,-0.029101
2025-04-01,Marketing,COGS,67831.68,70628.25,2796.57,0.041228
2025-04-01,Marketing,Payroll,53580.6,56983.71,3403.11,0.063514
2025-04-01,Marketing,Software,11031.3,11905.8,874.5,0.079274
2025-04-01,Marketing,Travel,4902.8,5456.46,553.66,0.112926
2025-04-01,Marketing,Facilities,6653.8,6958.98,305.18,0.045865
2025-04-01,Marketing,Other OpEx,9455.4,10063.91,608.51,0.064356
2025-04-01,R&D,Revenue,121128.0,118058.84,-3069.16,-0.025338
2025-04-01,R&D,COGS,50873.76,54671.4,3797.64,0.074648
2025-04-01,R&D,Payroll,75012.84,84011.6,8998.76,0.119963
2025-04-01,R&D,Software,15443.82,17311.98,1868.16,0.120965
2025-04-01,R&D,Travel,4902.8,5302.01,399.21,0.081425
2025-04-01,R&D,Facilities,6653.8,6864.25,210.45,0.031629
2025-04-01,R&D,Other OpEx,9455.4,9692.94,237.54,0.025122
2025-04-01,Operations,Revenue,100940.0,100439.84,-500.16,-0.004955
2025-04-01,Operations,COGS,42394.8,44068.45,1673.65,0.039478
2025-04-01,Operations,Payroll,53580.6,55466.85,1886.25,0.035204
2025-04-01,Operations,Software,11031.3,11308.03,276.73,0.025086
2025-04-01,Operations,Travel,4902.8,4982.1,79.3,0.016174
2025-04-01,Operations,Facilities,6653.8,6454.47,-199.33,-0.029957
2025-04-01,Operations,Other OpEx,9455.4,9211.07,-244.33,-0.025841
2025-04-01,G&A,Revenue,70658.0,72245.1,1587.1,0.022462
2025-04-01,G&A,COGS,29676.36,30626.0,949.64,0.032
2025-04-01,G&A,Payroll,53580.6,54618.44,1037.84,0.01937
2025-04-01,G&A,Software,11031.3,11125.23,93.93,0.008515
2025-04-01,G&A,Travel,4902.8,4935.66,32.86,0.006702
2025-04-01,G&A,Facilities,6653.8,6476.91,-176.89,-0.026584
2025-04-01,G&A,Other OpEx,9455.4,9382.88,-72.52,-0.00767
2025-05-01,Sales,Revenue,458640.0,444893.77,-13746.23,-0.029972
2025-05-01,Sales,COGS,192628.8,200774.03,8145.23,0.042285
2025-05-01,Sales,Payroll,54100.8,57232.0,3131.2,0.057877
2025-05-01,Sales,Software,11138.4,11856.58,718.18,0.064478
2025-05-01,Sales,Travel,5940.48,6321.88,381.4,0.064204
2025-05-01,Sales,Facilities,6718.4,6826.47,108.07,0.016086
2025-05-01,Sales,Other OpEx,9547.2,9625.23,78.03,0.008173
2025-05-01,Marketing,Revenue,163072.0,159875.28,-3196.72,-0.019603
2025-05-01,Marketing,COGS,68490.24,73079.07,4588.83,0.067
2025-05-01,Marketing,Payroll,54100.8,57774.84,3674.04,0.067911
2025-05-01,Marketing,Software,11138.4,11817.84,679.44,0.061
2025-05-01,Marketing,Travel,4950.4,5333.41,383.01,0.07737
2025-05-01,Marketing,Facilities,6718.4,6742.01,23.61,0.003515
2025-05-01,Marketing,Other OpEx,9547.2,9811.69,264.49,0.027703
2025-05-01,R&D,Revenue,122304.0,122877.4,573.4,0.004688
2025-05-01,R&D,COGS,51367.68,54885.57,3517.89,0.068485
2025-05-01,R&D,Payroll,75741.12,82769.98,7028.86,0.092801
2025-05-01,R&D,Software,15593.76,16854.0,1260.24,0.080817
2025-05-01,R&D,Travel,4950.4,5149.06,198.66,0.04013
2025-05-01,R&D,Facilities,6718.4,6727.61,9.21,0.00137
2025-05-01,R&D,Other OpEx,9547.2,9688.73,141.53,0.014824
2025-05-01,Operations,Revenue,101920.0,105128.23,3208.23,0.031478
2025-05-01,Operations,COGS,42806.4,43025.45,219.05,0.005117
2025-05-01,Operations,Payroll,54100.8,53719.89,-380.91,-0.007041
2025-05-01,Operations,Software,11138.4,10998.25,-140.15,-0.012582
2025-05-01,Operations,Travel,4950.4,4921.64,-28.76,-0.005809
2025-05-01,Operations,Facilities,6718.4,6518.4,-200.0,-0.029768
2025-05-01,Operations,Other OpEx,9547.2,9513.42,-33.78,-0.003538
2025-05-01,G&A,Revenue,71344.0,74780.36,3436.36,0.048166
2025-05-01,G&A,COGS,29964.48,29673.39,-291.09,-0.009715
2025-05-01,G&A,Payroll,54100.8,53433.59,-667.21,-0.012333
2025-05-01,G&A,Software,11138.4,11095.8,-42.6,-0.003825
2025-05-01,G&A,Travel,4950.4,5036.37,85.97,0.017366
2025-05-01,G&A,Facilities,6718.4,6744.84,26.44,0.003936
2025-05-01,G&A,Other OpEx,9547.2,9868.99,321.79,0.033705
2025-06-01,Sales,Revenue,463050.0,457480.7,-5569.3,-0.012027
2025-06-01,Sales,COGS,194481.0,206885.38,12404.38,0.063782
2025-06-01,Sales,Payroll,54621.0,57709.04,3088.04,0.056536
2025-06-01,Sales,Software,11245.5,11752.86,507.36,0.045117
2025-06-01,Sales,Travel,5997.6,6219.26,221.66,0.036959
2025-06-01,Sales,Facilities,6783.0,6738.35,-44.65,-0.006583
2025-06-01,Sales,Other OpEx,9639.0,9650.48,11.48,0.00119
2025-06-01,Marketing,Revenue,164640.0,167053.95,2413.95,0.014662
2025-06-01,Marketing,COGS,69148.8,73055.48,3906.68,0.056497
2025-06-01,Marketing,Payroll,54621.0,56996.38,2375.38,0.043488
2025-06-01,Marketing,Software,11245.5,11631.06,385.56,0.034286
2025-06-01,Marketing,Travel,4998.0,5301.21,303.21,0.060667
2025-06-01,Marketing,Facilities,6783.0,6824.89,41.89,0.006175
2025-06-01,Marketing,Other OpEx,9639.0,10153.39,514.39,0.053365
2025-06-01,R&D,Revenue,123480.0,128315.32,4835.32,0.039159
2025-06-01,R&D,COGS,51861.6,54011.31,2149.71,0.041451
2025-06-01,R&D,Payroll,76469.4,81761.9,5292.5,0.069211
2025-06-01,R&D,Software,15743.7,16878.06,1134.36,0.072052
2025-06-01,R&D,Travel,4998.0,5263.9,265.9,0.053201
2025-06-01,R&D,Facilities,6783.0,7032.92,249.92,0.036845
2025-06-01,R&D,Other OpEx,9639.0,10281.57,642.57,0.066663
2025-06-01,Operations,Revenue,102900.0,108039.0,5139.0,0.049942
2025-06-01,Operations,COGS,43218.0,42658.33,-559.67,-0.01295
2025-06-01,Operations,Payroll,54621.0,54271.93,-349.07,-0.006391
2025-06-01,Operations,Software,11245.5,11369.4,123.9,0.011017
2025-06-01,Operations,Travel,4998.0,5188.94,190.94,0.038204
2025-06-01,Operations,Facilities,6783.0,6960.04,177.04,0.0261
2025-06-01,Operations,Other OpEx,9639.0,10141.5,502.5,0.052132
2025-06-01,G&A,Revenue,72030.0,75050.9,3020.9,0.041939
2025-06-01,G&A,COGS,30252.6,30290.2,37.6,0.001243
2025-06-01,G&A,Payroll,54621.0,55782.37,1161.37,0.021262
2025-06-01,G&A,Software,11245.5,11773.18,527.68,0.046924
2025-06-01,G&A,Travel,4998.0,5371.46,373.46,0.074723
2025-06-01,G&A,Facilities,6783.0,7158.84,375.84,0.05541
2025-06-01,G&A,Other OpEx,9639.0,10299.63,660.63,0.068537
2025-07-01,Sales,Revenue,467460.0,478840.67,11380.67,0.024346
2025-07-01,Sales,COGS,196333.2,198332.6,1999.4,0.010184
2025-07-01,Sales,Payroll,55141.2,55113.87,-27.33,-0.000496
2025-07-01,Sales,Software,11352.6,11319.11,-33.49,-0.00295
2025-07-01,Sales,Travel,6054.72,6100.79,46.07,0.007609
2025-07-01,Sales,Facilities,6847.6,6758.7,-88.9,-0.012983
2025-07-01,Sales,Other OpEx,9730.8,9878.75,147.95,0.015204
2025-07-01,Marketing,Revenue,166208.0,173691.79,7483.79,0.045027
2025-07-01,Marketing,COGS,69807.36,69952.63,145.27,0.002081
2025-07-01,Marketing,Payroll,55141.2,55306.64,165.44,0.003
2025-07-01,Marketing,Software,11352.6,11525.64,173.04,0.015243
2025-07-01,Marketing,Travel,5045.6,5369.84,324.24,0.064262
2025-07-01,Marketing,Facilities,6847.6,7031.96,184.36,0.026924
2025-07-01,Marketing,Other OpEx,9730.8,10516.29,785.49,0.080722
2025-07-01,R&D,Revenue,124656.0,130793.31,6137.31,0.049234
2025-07-01,R&D,COGS,52355.52,52885.71,530.19,0.010127
2025-07-01,R&D,Payroll,77197.68,81885.63,4687.95,0.060727
2025-07-01,R&D,Software,15893.64,17236.43,1342.79,0.084486
2025-07-01,R&D,Travel,5045.6,5441.49,395.89,0.078462
2025-07-01,R&D,Facilities,6847.6,7279.38,431.78,0.063056
2025-07-01,R&D,Other OpEx,9730.8,10525.52,794.72,0.081671
2025-07-01,Operations,Revenue,103880.0,107514.65,3634.65,0.034989
2025-07-01,Operations,COGS,43629.6,43137.44,-492.16,-0.01128
2025-07-01,Operations,Payroll,55141.2,55867.78,726.58,0.013177
2025-07-01,Operations,Software,11352.6,11787.26,434.66,0.038287
2025-07-01,Operations,Travel,5045.6,5351.91,306.31,0.060708
2025-07-01,Operations,Facilities,6847.6,7072.05,224.45,0.032778
2025-07-01,Operations,Other OpEx,9730.8,10086.84,356.04,0.036589
2025-07-01,G&A,Revenue,72716.0,73369.81,653.81,0.008991
2025-07-01,G&A,COGS,30540.72,31328.5,787.78,0.025794
2025-07-01,G&A,Payroll,55141.2,57783.19,2641.99,0.047913
2025-07-01,G&A,Software,11352.6,12072.23,719.63,0.063389
2025-07-01,G&A,Travel,5045.6,5407.48,361.88,0.071722
2025-07-01,G&A,Facilities,6847.6,7048.94,201.34,0.029403
2025-07-01,G&A,Other OpEx,9730.8,9952.38,221.58,0.022771
2025-08-01,Sales,Revenue,471870.0,494857.99,22987.99,0.048717
2025-08-01,Sales,COGS,198185.4,194823.45,-3361.95,-0.016964
2025-08-01,Sales,Payroll,55661.4,55291.76,-369.64,-0.006641
2025-08-01,Sales,Software,11459.7,11616.92,157.22,0.01372
2025-08-01,Sales,Travel,6111.84,6369.62,257.78,0.042177
2025-08-01,Sales,Facilities,6912.2,7114.64,202.44,0.029287
2025-08-01,Sales,Other OpEx,9822.6,10340.34,517.74,0.052709
2025-08-01,Marketing,Revenue,167776.0,175508.27,7732.27,0.046087
2025-08-01,Marketing,COGS,70465.92,70923.72,457.8,0.006497
2025-08-01,Marketing,Payroll,55661.4,57263.72,1602.32,0.028787
2025-08-01,Marketing,Software,11459.7,12087.63,627.93,0.054795
2025-08-01,Marketing,Travel,5093.2,5632.64,539.44,0.105913
2025-08-01,Marketing,Facilities,6912.2,7315.8,403.6,0.058389
2025-08-01,Marketing,Other OpEx,9822.6,10733.37,910.77,0.092722
2025-08-01,R&D,Revenue,125832.0,129164.63,3332.63,0.026485
2025-08-01,R&D,COGS,52849.44,55144.54,2295.1,0.043427
2025-08-01,R&D,Payroll,77925.96,85937.0,8011.04,0.102803
2025-08-01,R&D,Software,16043.58,18015.78,1972.2,0.122928
2025-08-01,R&D,Travel,5093.2,5612.35,519.15,0.101931
2025-08-01,R&D,Facilities,6912.2,7358.94,446.74,0.064631
2025-08-01,R&D,Other OpEx,9822.6,10420.66,598.06,0.060886
2025-08-01,Operations,Revenue,104860.0,104768.73,-91.27,-0.00087
2025-08-01,Operations,COGS,44041.2,45393.48,1352.28,0.030705
2025-08-01,Operations,Payroll,55661.4,58222.95,2561.55,0.04602
2025-08-01,Operations,Software,11459.7,12059.06,599.36,0.052302
2025-08-01,Operations,Travel,5093.2,5356.83,263.63,0.051761
2025-08-01,Operations,Facilities,6912.2,6936.43,24.23,0.003506
2025-08-01,Operations,Other OpEx,9822.6,9779.65,-42.95,-0.004373
2025-08-01,G&A,Revenue,73402.0,71705.46,-1696.54,-0.023113
2025-08-01,G&A,COGS,30828.84,32401.02,1572.18,0.050997
2025-08-01,G&A,Payroll,55661.4,58533.59,2872.19,0.051601
2025-08-01,G&A,Software,11459.7,11969.36,509.66,0.044474
2025-08-01,G&A,Travel,5093.2,5275.45,182.25,0.035783
2025-08-01,G&A,Facilities,6912.2,6822.63,-89.57,-0.012959
2025-08-01,G&A,Other OpEx,9822.6,9689.8,-132.8,-0.013519
2025-09-01,Sales,Revenue,476280.0,495662.71,19382.71,0.040696
2025-09-01,Sales,COGS,200037.6,204460.6,4423.0,0.022111
2025-09-01,Sales,Payroll,56181.6,58827.91,2646.31,0.047103
2025-09-01,Sales,Software,11566.8,12384.63,817.83,0.070705
2025-09-01,Sales,Travel,6168.96,6724.29,555.33,0.09002
2025-09-01,Sales,Facilities,6976.8,7383.56,406.76,0.058302
2025-09-01,Sales,Other OpEx,9914.4,10496.97,582.57,0.05876
2025-09-01,Marketing,Revenue,169344.0,172215.33,2871.33,0.016956
2025-09-01,Marketing,COGS,71124.48,75624.87,4500.39,0.063275
2025-09-01,Marketing,Payroll,56181.6,60848.64,4667.04,0.083071
2025-09-01,Marketing,Software,11566.8,12665.61,1098.81,0.094997
2025-09-01,Marketing,Travel,5140.8,5781.35,640.55,0.124602
2025-09-01,Marketing,Facilities,6976.8,7356.85,380.05,0.054474
2025-09-01,Marketing,Other OpEx,9914.4,10626.09,711.69,0.071783
2025-09-01,R&D,Revenue,127008.0,125730.78,-1277.22,-0.010056
2025-09-01,R&D,COGS,53343.36,58281.18,4937.82,0.092567
2025-09-01,R&D,Payroll,78654.24,89178.02,10523.78,0.133798
2025-09-01,R&D,Software,16193.52,18315.85,2122.33,0.131061
2025-09-01,R&D,Travel,5140.8,5599.49,458.69,0.089226
2025-09-01,R&D,Facilities,6976.8,7250.71,273.91,0.03926
2025-09-01,R&D,Other OpEx,9914.4,10259.0,344.6,0.034757
2025-09-01,Operations,Revenue,105840.0,102915.09,-2924.91,-0.027635
2025-09-01,Operations,COGS,44452.8,46742.01,2289.21,0.051498
2025-09-01,Operations,Payroll,56181.6,58654.94,2473.34,0.044024
2025-09-01,Operations,Software,11566.8,11943.06,376.26,0.032529
2025-09-01,Operations,Travel,5140.8,5266.58,125.78,0.024468
2025-09-01,Operations,Facilities,6976.8,6845.42,-131.38,-0.018832
2025-09-01,Operations,Other OpEx,9914.4,9807.89,-106.51,-0.010743
2025-09-01,G&A,Revenue,74088.0,72049.55,-2038.45,-0.027514
2025-09-01,G&A,COGS,31116.96,32359.43,1242.47,0.039929
2025-09-01,G&A,Payroll,56181.6,57694.2,1512.6,0.026923
2025-09-01,G&A,Software,11566.8,11773.73,206.93,0.01789
2025-09-01,G&A,Travel,5140.8,5241.34,100.54,0.019557
2025-09-01,G&A,Facilities,6976.8,6909.72,-67.08,-0.009615
2025-09-01,G&A,Other OpEx,9914.4,10041.61,127.21,0.012831
2025-10-01,Sales,Revenue,480690.0,484051.92,3361.92,0.006994
2025-10-01,Sales,COGS,201889.8,211406.48,9516.68,0.047138
2025-10-01,Sales,Payroll,56701.8,60045.84,3344.04,0.058976
2025-10-01,Sales,Software,11673.9,12391.82,717.92,0.061498
2025-10-01,Sales,Travel,6226.08,6587.34,361.26,0.058023
2025-10-01,Sales,Facilities,7041.4,7101.46,60.06,0.00853
2025-10-01,Sales,Other OpEx,10006.2,10020.89,14.69,0.001468
2025-10-01,Marketing,Revenue,170912.0,167836.44,-3075.56,-0.017995
2025-10-01,Marketing,COGS,71783.04,76535.81,4752.77,0.06621
2025-10-01,Marketing,Payroll,56701.8,60291.07,3589.27,0.063301
2025-10-01,Marketing,Software,11673.9,12303.46,629.56,0.053929
2025-10-01,Marketing,Travel,5188.4,5551.19,362.79,0.069923
2025-10-01,Marketing,Facilities,7041.4,7026.54,-14.86,-0.00211
2025-10-01,Marketing,Other OpEx,10006.2,10261.94,255.74,0.025558
2025-10-01,R&D,Revenue,128184.0,124361.88,-3822.12,-0.029817
2025-10-01,R&D,COGS,53837.28,57203.78,3366.5,0.062531
2025-10-01,R&D,Payroll,79382.52,86152.16,6769.64,0.085279
2025-10-01,R&D,Software,16343.46,17551.96,1208.5,0.073944
2025-10-01,R&D,Travel,5188.4,5374.85,186.45,0.035935
2025-10-01,R&D,Facilities,7041.4,7049.07,7.67,0.001089
2025-10-01,R&D,Other OpEx,10006.2,10191.71,185.51,0.01854
2025-10-01,Operations,Revenue,106820.0,104372.42,-2447.58,-0.022913
2025-10-01,Operations,COGS,44864.4,44757.23,-107.17,-0.002389
2025-10-01,Operations,Payroll,56701.8,55969.64,-732.16,-0.012913
2025-10-01,Operations,Software,11673.9,11497.76,-176.14,-0.015088
2025-10-01,Operations,Travel,5188.4,5166.56,-21.84,-0.00421
2025-10-01,Operations,Facilities,7041.4,6868.64,-172.76,-0.024535
2025-10-01,Operations,Other OpEx,10006.2,10044.08,37.88,0.003785
2025-10-01,G&A,Revenue,74774.0,74734.42,-39.58,-0.000529
2025-10-01,G&A,COGS,31405.08,30958.49,-446.59,-0.01422
2025-10-01,G&A,Payroll,56701.8,55965.12,-736.68,-0.012992
2025-10-01,G&A,Software,11673.9,11668.73,-5.17,-0.000443
2025-10-01,G&A,Travel,5188.4,5311.84,123.44,0.023791
2025-10-01,G&A,Facilities,7041.4,7122.44,81.04,0.011509
2025-10-01,G&A,Other OpEx,10006.2,10408.39,402.19,0.040194
2025-11-01,Sales,Revenue,485100.0,473363.89,-11736.11,-0.024193
2025-11-01,Sales,COGS,203742.0,212804.02,9062.02,0.044478
2025-11-01,Sales,Payroll,57222.0,59202.41,1980.41,0.034609
2025-11-01,Sales,Software,11781.0,12047.38,266.38,0.022611
2025-11-01,Sales,Travel,6283.2,6384.28,101.08,0.016088
2025-11-01,Sales,Facilities,7106.0,6934.83,-171.17,-0.024089
2025-11-01,Sales,Other OpEx,10098.0,9974.71,-123.29,-0.01221
2025-11-01,Marketing,Revenue,172480.0,167387.7,-5092.3,-0.029524
2025-11-01,Marketing,COGS,72441.6,74906.61,2465.01,0.034028
2025-11-01,Marketing,Payroll,57222.0,58450.28,1228.28,0.021465
2025-11-01,Marketing,Software,11781.0,11955.12,174.12,0.01478
2025-11-01,Marketing,Travel,5236.0,5471.66,235.66,0.045008
2025-11-01,Marketing,Facilities,7106.0,7067.32,-38.68,-0.005443
2025-11-01,Marketing,Other OpEx,10098.0,10550.29,452.29,0.04479
2025-11-01,R&D,Revenue,129360.0,127255.82,-2104.18,-0.016266
2025-11-01,R&D,COGS,54331.2,55436.69,1105.49,0.020347
2025-11-01,R&D,Payroll,80110.8,84224.58,4113.78,0.051351
2025-11-01,R&D,Software,16493.4,17454.63,961.23,0.05828
2025-11-01,R&D,Travel,5236.0,5461.96,225.96,0.043154
2025-11-01,R&D,Facilities,7106.0,7312.52,206.52,0.029062
2025-11-01,R&D,Other OpEx,10098.0,10693.94,595.94,0.059016
2025-11-01,Operations,Revenue,107800.0,108807.41,1007.41,0.009345
2025-11-01,Operations,COGS,45276.0,43963.65,-1312.35,-0.028986
2025-11-01,Operations,Payroll,57222.0,56171.86,-1050.14,-0.018352
2025-11-01,Operations,Software,11781.0,11807.32,26.32,0.002234
2025-11-01,Operations,Travel,5236.0,5397.08,161.08,0.030765
2025-11-01,Operations,Facilities,7106.0,7232.31,126.31,0.017775
2025-11-01,Operations,Other OpEx,10098.0,10511.54,413.54,0.040953
2025-11-01,G&A,Revenue,75460.0,78121.05,2661.05,0.035264
2025-11-01,G&A,COGS,31693.2,31404.9,-288.3,-0.009097
2025-11-01,G&A,Payroll,57222.0,57986.25,764.25,0.013356
2025-11-01,G&A,Software,11781.0,12244.67,463.67,0.039358
2025-11-01,G&A,Travel,5236.0,5577.94,341.94,0.065305
2025-11-01,G&A,Facilities,7106.0,7407.95,301.95,0.042493
2025-11-01,G&A,Other OpEx,10098.0,10618.12,520.12,0.051508
2025-12-01,Sales,Revenue,489510.0,476404.28,-13105.72,-0.026773
2025-12-01,Sales,COGS,205594.2,209300.58,3706.38,0.018028
2025-12-01,Sales,Payroll,57742.2,58302.3,560.1,0.0097
2025-12-01,Sales,Software,11888.1,12019.04,130.94,0.011015
2025-12-01,Sales,Travel,6340.32,6502.93,162.61,0.025648
2025-12-01,Sales,Facilities,7170.6,7229.64,59.04,0.008234
