OrderID,OrderDate,SellerID,SellerName,SellerTier,Region,Category,Units,UnitPrice,GMV,TakeRate,MarketplaceRevenue,RefundFlag,RefundAmount,PaymentFee,SupportCost,FulfillmentCost,PromoCost,ContributionMargin
500044,2025-01-23,1021,Seller 1021,Gold,Central,Electronics,1,7940.400000000001,9655.8,0.1268,1224.36,0,0.0,178.63,43.45,82.07,101.39,818.81
500045,2025-01-20,1026,Seller 1026,Gold,East,Home & Kitchen,2,1945.2,4730.4,0.1254,593.19,0,0.0,87.51,21.29,40.21,49.67,394.52
500046,2025-01-11,1016,Seller 1016,Gold,West,Sports,2,1950.0,4743.0,0.1263,599.04,0,0.0,87.75,21.34,40.32,49.8,399.83
500047,2025-01-14,1002,Seller 1002,Platinum,Central,Apparel,4,1441.2,9448.8,0.1233,1165.04,0,0.0,174.8,42.52,80.31,99.21,768.19
500048,2025-01-14,1023,Seller 1023,Gold,Central,Home & Kitchen,3,1572.6000000000001,5737.2,0.1424,816.98,0,0.0,106.14,25.82,48.77,60.24,576.01
500049,2025-01-15,1076,Seller 1076,Bronze,Central,Home & Kitchen,3,1044.6,2054.4,0.1251,257.01,0,0.0,38.01,9.24,17.46,21.57,170.72
500050,2025-01-26,1073,Seller 1073,Bronze,Central,Electronics,2,4465.8,5855.4,0.1334,781.11,0,0.0,108.32,26.35,49.77,61.48,535.18
500051,2025-01-03,1034,Seller 1034,Silver,Central,Sports,3,1132.8,3162.0,0.1226,387.66,0,0.0,58.5,14.23,26.88,33.2,254.86
500052,2025-01-26,1031,Seller 1031,Silver,West,Home & Kitchen,1,4967.400000000001,4622.4,0.1396,645.29,0,0.0,85.51,20.8,39.29,48.54,451.15
500053,2025-01-17,1003,Seller 1003,Platinum,East,Pet Supplies,2,1936.8000000000002,6348.6,0.1273,808.18,0,0.0,117.45,28.57,53.96,66.66,541.54
500054,2025-01-04,1045,Seller 1045,Silver,Central,Home & Kitchen,2,2107.2,3921.6,0.1399,548.63,0,0.0,72.55,17.65,33.33,41.18,383.92
500055,2025-01-09,1025,Seller 1025,Gold,Central,Pet Supplies,2,948.0,2305.2,0.1366,314.89,0,0.0,42.65,10.37,19.59,24.2,218.07
500056,2025-01-10,1076,Seller 1076,Bronze,Central,Sports,1,3975.0,2605.8,0.136,354.39,0,0.0,48.21,11.73,22.15,27.36,244.95
500057,2025-01-21,1002,Seller 1002,Platinum,Central,Home & Kitchen,2,2545.8,8344.8,0.1243,1037.26,0,0.0,154.38,37.55,70.93,87.62,686.78
500058,2025-01-09,1063,Seller 1063,Bronze,West,Pet Supplies,3,1056.0,2076.6,0.1315,273.07,0,0.0,38.42,9.34,17.65,21.8,185.86
500059,2025-01-26,1062,Seller 1062,Bronze,West,Electronics,3,3223.2,6339.0,0.1268,803.79,0,0.0,117.27,28.53,53.88,66.56,537.55
500060,2025-01-08,1073,Seller 1073,Bronze,Central,Electronics,3,2886.6,5677.2,0.1313,745.42,0,0.0,105.03,25.55,48.26,59.61,506.97
500061,2025-01-02,1067,Seller 1067,Bronze,South,Beauty,3,783.6,1540.8,0.1471,226.65,0,0.0,28.5,6.93,13.1,16.18,161.94
500062,2025-01-06,1079,Seller 1079,Bronze,South,Electronics,3,2746.2000000000003,5401.2,0.1181,637.88,0,0.0,99.92,24.31,45.91,56.71,411.03
500063,2025-01-23,1071,Seller 1071,Bronze,Central,Sports,3,1527.0,3002.4,0.1303,391.21,0,0.0,55.54,13.51,25.52,31.53,265.11
500064,2025-01-22,1037,Seller 1037,Silver,East,Apparel,1,3973.2,3697.2,0.1302,481.38,0,0.0,68.4,16.64,31.43,38.82,326.09
500065,2025-01-06,1026,Seller 1026,Gold,East,Home & Kitchen,1,4762.799999999999,5791.8,0.1448,838.65,0,0.0,107.15,26.06,49.23,60.81,595.4
500066,2025-01-13,1040,Seller 1040,Silver,West,Pet Supplies,3,537.6,1500.6,0.1305,195.83,0,0.0,27.76,6.75,12.76,15.76,132.8
500067,2025-01-09,1035,Seller 1035,Silver,East,Electronics,2,4361.4,8116.2,0.114,925.25,0,0.0,150.15,36.52,68.99,85.22,584.37
500068,2025-01-22,1004,Seller 1004,Platinum,East,Sports,4,975.6000000000001,6396.0,0.1298,830.2,0,0.0,118.33,28.78,54.37,67.16,561.57
500069,2025-01-19,1035,Seller 1035,Silver,East,Electronics,2,3919.2,7294.2,0.1255,915.42,0,0.0,134.94,32.82,62.0,76.59,609.07
500070,2025-01-28,1056,Seller 1056,Bronze,West,Apparel,2,1927.1999999999998,2526.6,0.1164,294.1,0,0.0,46.74,11.37,21.48,26.53,187.98
500071,2025-01-15,1021,Seller 1021,Gold,Central,Pet Supplies,2,1366.8000000000002,3324.6,0.1427,474.42,0,0.0,61.51,14.96,28.26,34.91,334.79
500072,2025-01-22,1012,Seller 1012,Platinum,East,Beauty,1,3141.6,5148.6,0.1427,734.71,0,0.0,95.25,23.17,43.76,54.06,518.46
500073,2025-01-02,1070,Seller 1070,Bronze,West,Electronics,3,3181.2000000000003,6256.2,0.1279,800.17,0,0.0,115.74,28.15,53.18,65.69,537.41
500074,2025-01-26,1027,Seller 1027,Gold,West,Apparel,3,1465.8,5346.6,0.1291,690.25,1,4456.8,98.91,24.06,45.45,56.14,376.55
500075,2025-01-04,1031,Seller 1031,Silver,West,Home & Kitchen,2,2520.6,4690.8,0.1328,622.94,0,0.0,86.78,21.11,39.87,49.25,425.92
500076,2025-01-27,1060,Seller 1060,Bronze,East,Pet Supplies,3,784.8,1543.8,0.1372,211.81,0,0.0,28.56,6.95,13.12,16.21,146.97
500077,2025-01-05,1062,Seller 1062,Bronze,West,Home & Kitchen,2,2518.7999999999997,3303.0,0.1276,421.46,0,0.0,61.11,14.86,28.08,34.68,282.74
500078,2025-01-10,1009,Seller 1009,Platinum,Central,Pet Supplies,2,1309.8,4293.0,0.1424,611.32,0,0.0,79.42,19.32,36.49,45.08,431.02
500079,2025-01-18,1039,Seller 1039,Silver,East,Sports,3,1516.8000000000002,4234.8,0.1196,506.48,0,0.0,78.34,19.06,36.0,44.47,328.62
500080,2025-01-28,1070,Seller 1070,Bronze,West,Electronics,4,1599.6,4195.2,0.1365,572.64,0,0.0,77.61,18.88,35.66,44.05,396.45
500081,2025-01-27,1053,Seller 1053,Silver,Central,Beauty,2,990.0,1842.6,0.1525,281.0,0,0.0,34.09,8.29,15.66,19.35,203.61
500082,2025-01-15,1020,Seller 1020,Gold,West,Home & Kitchen,3,1747.2,6373.8,0.1372,874.49,0,0.0,117.92,28.68,54.18,66.92,606.79
500083,2025-01-16,1013,Seller 1013,Gold,West,Electronics,1,8998.2,10941.6,0.1228,1343.63,0,0.0,202.42,49.24,93.0,114.89,884.08
500084,2025-01-13,1034,Seller 1034,Silver,Central,Sports,2,1785.6000000000001,3322.8,0.1364,453.23,0,0.0,61.47,14.95,28.24,34.89,313.67
500085,2025-01-22,1041,Seller 1041,Silver,West,Apparel,3,1048.8,2928.6,0.121,354.36,0,0.0,54.18,13.18,24.89,30.75,231.36
500086,2025-01-06,1037,Seller 1037,Silver,East,Pet Supplies,4,1151.4,4286.4,0.1382,592.38,0,0.0,79.3,19.29,36.43,45.01,412.35
500087,2025-01-14,1039,Seller 1039,Silver,East,Electronics,2,4561.2,8488.2,0.1216,1032.17,0,0.0,157.03,38.2,72.15,89.13,675.66
500088,2025-01-16,1073,Seller 1073,Bronze,Central,Electronics,2,4740.6,6216.0,0.1276,793.16,0,0.0,115.0,27.97,52.84,65.27,532.09
500089,2025-01-29,1075,Seller 1075,Bronze,East,Electronics,1,8829.0,5788.2,0.1191,689.37,0,0.0,107.08,26.05,49.2,60.78,446.27
500090,2025-01-14,1037,Seller 1037,Silver,East,Apparel,3,1557.6000000000001,4348.8,0.1163,505.77,0,0.0,80.45,19.57,36.96,45.66,323.12
500091,2025-01-12,1033,Seller 1033,Silver,South,Beauty,1,3408.0,3171.0,0.1535,486.75,0,0.0,58.66,14.27,26.95,33.3,353.57
500092,2025-01-25,1074,Seller 1074,Bronze,East,Electronics,2,4210.8,5521.2,0.1329,733.77,1,5185.8,102.14,24.85,46.93,57.97,398.16
500093,2025-01-12,1007,Seller 1007,Platinum,South,Pet Supplies,1,3131.3999999999996,5131.8,0.1269,651.23,0,0.0,94.94,23.09,43.62,53.88,435.69
500094,2025-01-21,1029,Seller 1029,Gold,West,Home & Kitchen,1,4512.0,5486.4,0.1403,769.74,0,0.0,101.5,24.69,46.63,57.61,539.31
500095,2025-01-30,1013,Seller 1013,Gold,West,Pet Supplies,4,888.0,4318.8,0.1208,521.71,0,0.0,79.9,19.43,36.71,45.35,340.32
500096,2025-01-17,1038,Seller 1038,Silver,South,Sports,2,2403.6000000000004,4473.0,0.1349,603.41,0,0.0,82.75,20.13,38.02,46.97,415.54
500097,2025-01-26,1035,Seller 1035,Silver,East,Beauty,4,480.0,1786.8,0.1562,279.1,0,0.0,33.06,8.04,15.19,18.76,204.05
500098,2025-01-13,1015,Seller 1015,Gold,West,Pet Supplies,3,1230.6000000000001,4489.2,0.1254,562.95,0,0.0,83.05,20.2,38.16,47.14,374.4
500099,2025-01-22,1072,Seller 1072,Bronze,South,Home & Kitchen,2,2396.3999999999996,3141.6,0.1359,426.94,0,0.0,58.12,14.14,26.7,32.99,295.0
500100,2025-01-18,1034,Seller 1034,Silver,Central,Sports,3,742.1999999999999,2071.2,0.1186,245.64,1,1963.2,38.32,9.32,17.61,21.75,119.39
500101,2025-01-04,1042,Seller 1042,Silver,East,Home & Kitchen,1,4472.400000000001,4161.6,0.1341,558.07,0,0.0,76.99,18.73,35.37,43.7,383.28
500102,2025-01-13,1018,Seller 1018,Gold,West,Electronics,5,2275.2000000000003,13831.8,0.1158,1601.72,0,0.0,255.89,62.24,117.57,145.23,1020.79
500103,2025-01-29,1059,Seller 1059,Bronze,Central,Sports,3,1344.0,2643.0,0.129,340.95,0,0.0,48.9,11.89,22.47,27.75,229.94
500104,2025-01-07,1054,Seller 1054,Silver,South,Home & Kitchen,3,1169.3999999999999,3264.0,0.1455,474.91,0,0.0,60.38,14.69,27.74,34.27,337.82
500105,2025-01-21,1057,Seller 1057,Bronze,South,Electronics,2,5008.2,6566.4,0.1365,896.31,0,0.0,121.48,29.55,55.81,68.95,620.52
500106,2025-01-07,1046,Seller 1046,Silver,Central,Sports,2,3225.6,6002.4,0.1388,833.13,0,0.0,111.04,27.01,51.02,63.03,581.03
500107,2025-01-07,1077,Seller 1077,Bronze,South,Electronics,2,3843.6000000000004,5040.0,0.116,584.64,1,4507.2,93.24,22.68,42.84,52.92,282.82
500108,2025-01-05,1076,Seller 1076,Bronze,Central,Home & Kitchen,3,1383.6,2721.0,0.1265,344.21,1,2547.6,50.34,12.24,23.13,28.57,178.97
500109,2025-01-26,1017,Seller 1017,Gold,East,Electronics,2,4029.6,9799.8,0.1338,1311.21,0,0.0,181.3,44.1,83.3,102.9,899.62
500110,2025-01-03,1031,Seller 1031,Silver,West,Home & Kitchen,3,1670.4,4663.2,0.126,587.56,0,0.0,86.27,20.98,39.64,48.96,391.71
500111,2025-01-24,1061,Seller 1061,Bronze,Central,Electronics,1,9412.2,6170.4,0.1238,763.9,0,0.0,114.15,27.77,52.45,64.79,504.74
500112,2025-01-04,1067,Seller 1067,Bronze,South,Beauty,2,1278.6,1676.4,0.157,263.19,0,0.0,31.01,7.54,14.25,17.6,192.79
500113,2025-01-20,1063,Seller 1063,Bronze,West,Pet Supplies,1,3305.4,2167.2,0.1277,276.75,0,0.0,40.09,9.75,18.42,22.76,185.73
500114,2025-01-04,1075,Seller 1075,Bronze,East,Electronics,1,10704.0,7017.0,0.1257,882.04,0,0.0,129.81,31.58,59.64,73.68,587.32
500115,2025-01-14,1015,Seller 1015,Gold,West,Pet Supplies,3,820.2,2992.8,0.1408,421.39,0,0.0,55.37,13.47,25.44,31.42,295.69
500116,2025-01-05,1044,Seller 1044,Silver,East,Apparel,2,1989.0,3702.0,0.1182,437.58,0,0.0,68.49,16.66,31.47,38.87,282.09
500117,2025-01-18,1061,Seller 1061,Bronze,Central,Electronics,2,4081.8,5352.0,0.1153,617.09,0,0.0,99.01,24.08,45.49,56.2,392.3
500118,2025-01-25,1008,Seller 1008,Platinum,West,Electronics,1,8464.800000000001,13873.8,0.1159,1607.97,0,0.0,256.67,62.43,117.93,145.67,1025.27
500119,2025-01-05,1055,Seller 1055,Bronze,Central,Pet Supplies,3,1105.2,2173.8,0.1275,277.16,0,0.0,40.22,9.78,18.48,22.82,185.86
500120,2025-01-26,1062,Seller 1062,Bronze,West,Electronics,3,3745.8,7366.8,0.1218,897.28,0,0.0,136.29,33.15,62.62,77.35,587.87
500121,2025-01-09,1055,Seller 1055,Bronze,Central,Sports,1,4217.400000000001,2764.8,0.1166,322.38,0,0.0,51.15,12.44,23.5,29.03,206.25
500122,2025-01-19,1004,Seller 1004,Platinum,East,Sports,2,1980.0,6490.8,0.1242,806.16,0,0.0,120.08,29.21,55.17,68.15,533.54
500123,2025-01-15,1052,Seller 1052,Silver,Central,Pet Supplies,2,894.0,1664.4,0.1222,203.39,0,0.0,30.79,7.49,14.15,17.48,133.48
500124,2025-01-05,1044,Seller 1044,Silver,East,Pet Supplies,2,1764.6,3283.8,0.1426,468.27,0,0.0,60.75,14.78,27.91,34.48,330.35
500125,2025-01-09,1021,Seller 1021,Gold,Central,Electronics,2,3857.4000000000005,9381.0,0.1289,1209.21,0,0.0,173.55,42.21,79.74,98.5,815.21
500126,2025-01-10,1028,Seller 1028,Gold,Central,Electronics,2,4629.0,11257.2,0.1293,1455.56,0,0.0,208.26,50.66,95.69,118.2,982.75
500127,2025-01-25,1006,Seller 1006,Platinum,East,Sports,2,2268.0,7434.6,0.1209,898.84,0,0.0,137.54,33.46,63.19,78.06,586.59
500128,2025-01-08,1033,Seller 1033,Silver,South,Beauty,3,1049.3999999999999,2929.8,0.1433,419.84,0,0.0,54.2,13.18,24.9,30.76,296.79
500129,2025-01-15,1065,Seller 1065,Bronze,South,Home & Kitchen,2,2139.6,2805.6,0.1325,371.74,0,0.0,51.9,12.63,23.85,29.46,253.91
500130,2025-01-11,1010,Seller 1010,Platinum,West,Sports,1,4719.599999999999,7735.2,0.1314,1016.41,0,0.0,143.1,34.81,65.75,81.22,691.53
500131,2025-01-14,1022,Seller 1022,Gold,East,Sports,1,4698.6,5713.2,0.1247,712.44,0,0.0,105.69,25.71,48.56,59.99,472.48
500132,2025-01-03,1076,Seller 1076,Bronze,Central,Home & Kitchen,4,1607.3999999999999,4215.6,0.1409,593.98,0,0.0,77.99,18.97,35.83,44.26,416.92
500133,2025-01-21,1066,Seller 1066,Bronze,South,Home & Kitchen,2,2410.8,3160.8,0.1416,447.57,0,0.0,58.47,14.22,26.87,33.19,314.82
500134,2025-01-06,1019,Seller 1019,Gold,East,Apparel,2,2082.0,5063.4,0.1225,620.27,0,0.0,93.67,22.79,43.04,53.17,407.6
500135,2025-01-20,1064,Seller 1064,Bronze,Central,Pet Supplies,1,2992.2,1961.4,0.1363,267.34,0,0.0,36.29,8.83,16.67,20.59,184.96
500136,2025-01-19,1042,Seller 1042,Silver,East,Pet Supplies,2,1806.0,3360.6,0.1313,441.25,0,0.0,62.17,15.12,28.57,35.29,300.1
500137,2025-01-21,1008,Seller 1008,Platinum,West,Electronics,3,3248.4,15970.8,0.1139,1819.07,0,0.0,295.46,71.87,135.75,167.69,1148.3
500138,2025-01-15,1012,Seller 1012,Platinum,East,Beauty,1,2629.7999999999997,4309.8,0.1463,630.52,0,0.0,79.73,19.39,36.63,45.25,449.51
500139,2025-01-29,1074,Seller 1074,Bronze,East,Electronics,2,5062.200000000001,6637.8,0.1166,773.97,0,0.0,122.8,29.87,56.42,69.7,495.18
500140,2025-01-17,1044,Seller 1044,Silver,East,Electronics,2,4338.0,8072.4,0.1189,959.81,0,0.0,149.34,36.33,68.62,84.76,620.77
500141,2025-01-26,1079,Seller 1079,Bronze,South,Beauty,2,1443.6,1892.4,0.1428,270.23,0,0.0,35.01,8.52,16.09,19.87,190.75
500142,2025-01-30,1043,Seller 1043,Silver,West,Sports,3,1827.6000000000001,5101.2,0.1228,626.43,0,0.0,94.37,22.96,43.36,53.56,412.18
500143,2025-01-22,1078,Seller 1078,Bronze,East,Beauty,3,1032.6000000000001,2031.0,0.155,314.81,0,0.0,37.57,9.14,17.26,21.33,229.5
500144,2025-01-05,1051,Seller 1051,Silver,East,Sports,2,2131.8,3967.2,0.1294,513.36,0,0.0,73.39,17.85,33.72,41.66,346.73
500145,2025-01-11,1068,Seller 1068,Bronze,South,Pet Supplies,2,1299.0,1702.8,0.1204,205.02,0,0.0,31.5,7.66,14.47,17.88,133.5
500146,2025-01-18,1063,Seller 1063,Bronze,West,Pet Supplies,3,1039.8,2045.4,0.1271,259.97,0,0.0,37.84,9.2,17.39,21.48,174.06
500147,2025-01-27,1068,Seller 1068,Bronze,South,Pet Supplies,1,3484.2,2284.2,0.1231,281.19,0,0.0,42.26,10.28,19.42,23.98,185.25
500148,2025-01-20,1080,Seller 1080,Bronze,South,Home & Kitchen,2,2344.2,3073.8,0.1317,404.82,0,0.0,56.87,13.83,26.13,32.27,275.72
500149,2025-01-07,1037,Seller 1037,Silver,East,Apparel,2,2146.2000000000003,3993.6,0.1312,523.96,0,0.0,73.88,17.97,33.95,41.93,356.23
500150,2025-01-14,1048,Seller 1048,Silver,East,Electronics,1,8379.0,7796.4,0.1315,1025.23,0,0.0,144.23,35.08,66.27,81.86,697.78
500151,2025-01-04,1021,Seller 1021,Gold,Central,Sports,3,1731.6,6316.2,0.1314,829.95,0,0.0,116.85,28.42,53.69,66.32,564.67
500152,2025-01-03,1067,Seller 1067,Bronze,South,Beauty,3,942.6,1854.0,0.1438,266.61,0,0.0,34.3,8.34,15.76,19.47,188.74
500153,2025-01-03,1029,Seller 1029,Gold,West,Beauty,3,787.1999999999999,2872.8,0.1425,409.37,0,0.0,53.15,12.93,24.42,30.16,288.72
500154,2025-01-02,1048,Seller 1048,Silver,East,Electronics,2,4638.6,8632.8,0.1302,1123.99,0,0.0,159.71,38.85,73.38,90.64,761.41
500155,2025-01-09,1037,Seller 1037,Silver,East,Apparel,2,1761.6,3278.4,0.1249,409.47,1,1920.0,60.65,14.75,27.87,34.42,233.38
500156,2025-02-03,1028,Seller 1028,Gold,Central,Sports,3,1336.8000000000002,4980.0,0.1262,628.48,0,0.0,92.13,22.41,42.33,52.29,419.32
500157,2025-02-17,1007,Seller 1007,Platinum,South,Home & Kitchen,1,4498.8,7530.6,0.1245,937.56,0,0.0,139.32,33.89,64.01,79.07,621.27
500158,2025-02-18,1003,Seller 1003,Platinum,East,Pet Supplies,1,2939.4,4920.6,0.127,624.92,0,0.0,91.03,22.14,41.83,51.67,418.25
500159,2025-02-25,1054,Seller 1054,Silver,South,Home & Kitchen,2,2042.3999999999999,3882.6,0.1317,511.34,0,0.0,71.83,17.47,33.0,40.77,348.27
500160,2025-01-31,1065,Seller 1065,Bronze,South,Home & Kitchen,1,5202.0,3483.0,0.1383,481.7,0,0.0,64.44,15.67,29.61,36.57,335.41
500161,2025-02-04,1046,Seller 1046,Silver,Central,Beauty,2,1628.4,3095.4,0.1355,419.43,0,0.0,57.26,13.93,26.31,32.5,289.42
500162,2025-02-15,1006,Seller 1006,Platinum,East,Sports,1,5004.599999999999,8377.2,0.1359,1138.46,0,0.0,154.98,37.7,71.21,87.96,786.62
500163,2025-02-01,1024,Seller 1024,Gold,West,Electronics,2,2718.6000000000004,6753.0,0.1139,769.17,0,0.0,124.93,30.39,57.4,70.91,485.54
500164,2025-02-09,1041,Seller 1041,Silver,West,Sports,1,4960.2,4714.2,0.1274,600.59,0,0.0,87.21,21.21,40.07,49.5,402.59
500165,2025-02-23,1046,Seller 1046,Silver,Central,Electronics,3,2433.0,6937.2,0.116,804.72,0,0.0,128.34,31.22,58.97,72.84,513.35
500166,2025-02-08,1057,Seller 1057,Bronze,South,Apparel,2,2087.4,2795.4,0.1246,348.31,0,0.0,51.71,12.58,23.76,29.35,230.9
500167,2025-02-02,1011,Seller 1011,Platinum,West,Electronics,3,3349.7999999999997,16822.2,0.1327,2232.31,0,0.0,311.21,75.7,142.99,176.63,1525.77
500168,2025-02-01,1042,Seller 1042,Silver,East,Pet Supplies,2,1878.0,3569.4,0.1302,464.74,0,0.0,66.03,16.06,30.34,37.48,314.82
500169,2025-02-12,1046,Seller 1046,Silver,Central,Sports,1,4767.0,4530.6,0.135,611.63,0,0.0,83.82,20.39,38.51,47.57,421.35
