Sr No,Dt Transaction,Dt Product Launch,Retailer,Retailer Id,Country,State,City,Brand,Category,Product,Product Item Id,Sales Channel,Channel Type,Packaging Type,Packaging Category,Packaging Qty N Ml,Packaging Qty Ml,Order Qty,Mrp Unit Price,Cost Per Unit,Discount,Sales,COGS,Profit,Margin Percentage,Discount Impact on Profit,brand,category,product,product_item_id,retailer,retailer_id,country,state,city,dt_transaction,dt_product_launch,sales_channel,channel_type,packaging_type,packaging_category,packaging_qty_n_ml,packaging_qty_ml,order_qty,mrp_unit_price,cost_per_unit,margin_percentage,sales,profit,Year,annual revenue growth
11,2023-03-22,2023-07-09,BottleKing,R5144,USA,GA,Atlanta,StonePeak,Sour,StonePeak Sour 24oz,P13358,On-Premise,Distributor,Can,12-Pack,12,5676,17,8.74,5.29,0.15,126.31,89.93,36.38,28.8,22.27,StonePeak,Sour,StonePeak Sour 24oz,P13358,BottleKing,R5144,USA,GA,Atlanta,2023-03-22,2023-07-09,On-Premise,Distributor,Can,12-Pack,12,5676,17,8.74,5.29,28.8,126.31,36.38,2023,
12,2025-10-07,2023-09-30,QuickStop,R4280,USA,GA,Atlanta,HopHouse,Stout,HopHouse Stout 16oz,P82752,On-Premise,Distributor,Can,24-Pack,24,11352,10,5.76,2.65,0.05,54.7,26.5,28.2,51.55,2.9,HopHouse,Stout,HopHouse Stout 16oz,P82752,QuickStop,R4280,USA,GA,Atlanta,2025-10-07,2023-09-30,On-Premise,Distributor,Can,24-Pack,24,11352,10,5.76,2.65,51.55,54.7,28.2,2025,0.21
13,2025-02-16,2024-03-04,CityLiquor,R8919,USA,TN,Nashville,StonePeak,Stout,StonePeak Stout 16oz,P19294,On-Premise,Distributor,Bottle,12-Pack,12,8520,12,5.84,3.45,0.0,70.08,41.4,28.68,40.92,0.0,StonePeak,Stout,StonePeak Stout 16oz,P19294,CityLiquor,R8919,USA,TN,Nashville,2025-02-16,2024-03-04,On-Premise,Distributor,Bottle,12-Pack,12,8520,12,5.84,3.45,40.92,70.08,28.68,2025,0.21
14,2024-06-04,2023-01-30,MegaMart,R3944,USA,SC,Columbia,StonePeak,Lager,StonePeak Lager 16oz,P49690,Off-Premise,Distributor,Bottle,Single,1,710,2,4.36,2.1,0.0,8.72,4.2,4.52,51.83,0.0,StonePeak,Lager,StonePeak Lager 16oz,P49690,MegaMart,R3944,USA,SC,Columbia,2024-06-04,2023-01-30,Off-Premise,Distributor,Bottle,Single,1,710,2,4.36,2.1,51.83,8.72,4.52,2024,-4.17
15,2023-03-03,2023-06-28,CampusStore,R4615,USA,SC,Columbia,BrewCo,IPA,BrewCo IPA 12oz,P32908,Off-Premise,Direct,Can,12-Pack,12,5676,7,3.95,2.18,0.1,24.92,15.26,9.66,38.76,2.73,BrewCo,IPA,BrewCo IPA 12oz,P32908,CampusStore,R4615,USA,SC,Columbia,2023-03-03,2023-06-28,Off-Premise,Direct,Can,12-Pack,12,5676,7,3.95,2.18,38.76,24.92,9.66,2023,
16,2024-01-06,2023-12-01,QuickStop,R6764,USA,NC,Durham,NorthStar,Lager,NorthStar Lager 24oz,P56715,Off-Premise,Distributor,Bottle,12-Pack,12,4260,4,4.1,2.41,0.0,16.4,9.64,6.76,41.22,0.0,NorthStar,Lager,NorthStar Lager 24oz,P56715,QuickStop,R6764,USA,NC,Durham,2024-01-06,2023-12-01,Off-Premise,Distributor,Bottle,12-Pack,12,4260,4,4.1,2.41,41.22,16.4,6.76,2024,-4.17
17,2024-12-24,2024-01-08,QuickStop,R2159,USA,GA,Savannah,RiverMalt,IPA,RiverMalt IPA 12oz,P62369,Off-Premise,Direct,Can,12-Pack,12,5676,6,5.3,2.4,0.0,31.8,14.4,17.4,54.72,0.0,RiverMalt,IPA,RiverMalt IPA 12oz,P62369,QuickStop,R2159,USA,GA,Savannah,2024-12-24,2024-01-08,Off-Premise,Direct,Can,12-Pack,12,5676,6,5.3,2.4,54.72,31.8,17.4,2024,-4.17
18,2024-10-21,2024-01-17,QuickStop,R1370,USA,FL,Orlando,HopHouse,Lager,HopHouse Lager 24oz,P87425,Off-Premise,Distributor,Bottle,12-Pack,12,5676,7,5.42,2.72,0.1,34.16,19.04,15.12,44.26,3.78,HopHouse,Lager,HopHouse Lager 24oz,P87425,QuickStop,R1370,USA,FL,Orlando,2024-10-21,2024-01-17,Off-Premise,Distributor,Bottle,12-Pack,12,5676,7,5.42,2.72,44.26,34.16,15.12,2024,-4.17
19,2025-04-15,2023-01-18,CampusStore,R7810,USA,TN,Knoxville,NorthStar,Sour,NorthStar Sour 16oz,P25357,Off-Premise,Distributor,Bottle,6-Pack,6,2130,6,7.21,3.45,0.1,38.94,20.7,18.24,46.84,4.32,NorthStar,Sour,NorthStar Sour 16oz,P25357,CampusStore,R7810,USA,TN,Knoxville,2025-04-15,2023-01-18,Off-Premise,Distributor,Bottle,6-Pack,6,2130,6,7.21,3.45,46.84,38.94,18.24,2025,0.21
20,2025-03-11,2023-11-15,CityLiquor,R9315,USA,GA,Savannah,HopHouse,Lager,HopHouse Lager 16oz,P26921,E-commerce,Direct,Bottle,6-Pack,6,4260,3,4.79,2.3,0.0,14.37,6.9,7.47,51.98,0.0,HopHouse,Lager,HopHouse Lager 16oz,P26921,CityLiquor,R9315,USA,GA,Savannah,2025-03-11,2023-11-15,E-commerce,Direct,Bottle,6-Pack,6,4260,3,4.79,2.3,51.98,14.37,7.47,2025,0.21
21,2025-05-18,2024-01-03,BottleKing,R9700,USA,TN,Knoxville,NorthStar,IPA,NorthStar IPA 12oz,P93741,Off-Premise,Distributor,Bottle,6-Pack,6,4260,3,5.41,2.63,0.1,14.61,7.89,6.72,46.0,1.62,NorthStar,IPA,NorthStar IPA 12oz,P93741,BottleKing,R9700,USA,TN,Knoxville,2025-05-18,2024-01-03,Off-Premise,Distributor,Bottle,6-Pack,6,4260,3,5.41,2.63,46.0,14.61,6.72,2025,0.21
22,2023-05-03,2023-12-26,MegaMart,R4430,USA,SC,Columbia,RiverMalt,IPA,RiverMalt IPA 16oz,P15242,Off-Premise,Distributor,Can,12-Pack,12,8520,14,6.17,3.08,0.05,82.04,43.12,38.92,47.44,4.34,RiverMalt,IPA,RiverMalt IPA 16oz,P15242,MegaMart,R4430,USA,SC,Columbia,2023-05-03,2023-12-26,Off-Premise,Distributor,Can,12-Pack,12,8520,14,6.17,3.08,47.44,82.04,38.92,2023,
23,2025-12-11,2024-01-20,CampusStore,R4696,USA,SC,Columbia,HopHouse,Pilsner,HopHouse Pilsner 12oz,P20903,On-Premise,Distributor,Can,12-Pack,12,4260,8,5.72,3.51,0.0,45.76,28.08,17.68,38.64,0.0,HopHouse,Pilsner,HopHouse Pilsner 12oz,P20903,CampusStore,R4696,USA,SC,Columbia,2025-12-11,2024-01-20,On-Premise,Distributor,Can,12-Pack,12,4260,8,5.72,3.51,38.64,45.76,17.68,2025,0.21
24,2023-04-29,2024-01-03,QuickStop,R6031,USA,GA,Atlanta,NorthStar,IPA,NorthStar IPA 12oz,P35971,E-commerce,Distributor,Can,6-Pack,6,4260,10,5.41,3.38,0.0,54.1,33.8,20.3,37.52,0.0,NorthStar,IPA,NorthStar IPA 12oz,P35971,QuickStop,R6031,USA,GA,Atlanta,2023-04-29,2024-01-03,E-commerce,Distributor,Can,6-Pack,6,4260,10,5.41,3.38,37.52,54.1,20.3,2023,
25,2024-01-30,2023-10-02,CampusStore,R9758,Canada,SC,Columbia,BrewCo,Stout,BrewCo Stout 16oz,P60796,Off-Premise,Distributor,Can,Single,1,710,8,7.16,3.4,0.0,57.28,27.2,30.08,52.51,0.0,BrewCo,Stout,BrewCo Stout 16oz,P60796,CampusStore,R9758,Canada,SC,Columbia,2024-01-30,2023-10-02,Off-Premise,Distributor,Can,Single,1,710,8,7.16,3.4,52.51,57.28,30.08,2024,-4.17
26,2024-11-28,2023-01-02,MegaMart,R7668,USA,TN,Knoxville,HopHouse,Sour,HopHouse Sour 24oz,P35879,E-commerce,Distributor,Can,6-Pack,6,4260,8,6.26,2.84,0.1,45.04,22.72,22.32,49.56,5.04,HopHouse,Sour,HopHouse Sour 24oz,P35879,MegaMart,R7668,USA,TN,Knoxville,2024-11-28,2023-01-02,E-commerce,Distributor,Can,6-Pack,6,4260,8,6.26,2.84,49.56,45.04,22.32,2024,-4.17
27,2023-07-28,2023-01-18,CityLiquor,R9442,Canada,NC,Durham,NorthStar,Sour,NorthStar Sour 16oz,P60729,E-commerce,Distributor,Bottle,Single,1,710,14,5.74,3.64,0.0,80.36,50.96,29.4,36.59,0.0,NorthStar,Sour,NorthStar Sour 16oz,P60729,CityLiquor,R9442,Canada,NC,Durham,2023-07-28,2023-01-18,E-commerce,Distributor,Bottle,Single,1,710,14,5.74,3.64,36.59,80.36,29.4,2023,
28,2023-02-16,2023-02-07,QuickStop,R1919,USA,NC,Charlotte,NorthStar,Lager,NorthStar Lager 16oz,P18220,E-commerce,Distributor,Can,12-Pack,12,5676,16,6.45,3.19,0.1,92.96,51.04,41.92,45.09,10.24,NorthStar,Lager,NorthStar Lager 16oz,P18220,QuickStop,R1919,USA,NC,Charlotte,2023-02-16,2023-02-07,E-commerce,Distributor,Can,12-Pack,12,5676,16,6.45,3.19,45.09,92.96,41.92,2023,
29,2024-08-07,2023-04-25,BottleKing,R4492,USA,GA,Atlanta,RiverMalt,Stout,RiverMalt Stout 16oz,P73582,Off-Premise,Distributor,Can,24-Pack,24,17040,15,5.77,3.34,0.1,77.85,50.1,27.75,35.65,8.7,RiverMalt,Stout,RiverMalt Stout 16oz,P73582,BottleKing,R4492,USA,GA,Atlanta,2024-08-07,2023-04-25,Off-Premise,Distributor,Can,24-Pack,24,17040,15,5.77,3.34,35.65,77.85,27.75,2024,-4.17
30,2023-02-22,2023-09-03,MegaMart,R2511,USA,TN,Knoxville,NorthStar,Stout,NorthStar Stout 12oz,P81371,Off-Premise,Distributor,Can,12-Pack,12,5676,2,5.93,2.82,0.05,11.26,5.64,5.62,49.91,0.6,NorthStar,Stout,NorthStar Stout 12oz,P81371,MegaMart,R2511,USA,TN,Knoxville,2023-02-22,2023-09-03,Off-Premise,Distributor,Can,12-Pack,12,5676,2,5.93,2.82,49.91,11.26,5.62,2023,
31,2025-07-10,2023-11-23,MegaMart,R6637,USA,TN,Knoxville,StonePeak,Lager,StonePeak Lager 12oz,P27073,Off-Premise,Direct,Can,6-Pack,6,2838,9,7.5,4.66,0.0,67.5,41.94,25.56,37.87,0.0,StonePeak,Lager,StonePeak Lager 12oz,P27073,MegaMart,R6637,USA,TN,Knoxville,2025-07-10,2023-11-23,Off-Premise,Direct,Can,6-Pack,6,2838,9,7.5,4.66,37.87,67.5,25.56,2025,0.21
32,2023-12-16,2024-01-31,QuickStop,R1857,Canada,FL,Miami,NorthStar,Pilsner,NorthStar Pilsner 24oz,P70191,E-commerce,Direct,Can,12-Pack,12,8520,11,5.05,2.9,0.0,55.55,31.9,23.65,42.57,0.0,NorthStar,Pilsner,NorthStar Pilsner 24oz,P70191,QuickStop,R1857,Canada,FL,Miami,2023-12-16,2024-01-31,E-commerce,Direct,Can,12-Pack,12,8520,11,5.05,2.9,42.57,55.55,23.65,2023,
33,2024-12-10,2023-10-23,QuickStop,R3469,USA,VA,Norfolk,BrewCo,Stout,BrewCo Stout 24oz,P93148,Off-Premise,Direct,Bottle,12-Pack,12,5676,3,3.81,1.79,0.15,9.72,5.37,4.35,44.75,1.71,BrewCo,Stout,BrewCo Stout 24oz,P93148,QuickStop,R3469,USA,VA,Norfolk,2024-12-10,2023-10-23,Off-Premise,Direct,Bottle,12-Pack,12,5676,3,3.81,1.79,44.75,9.72,4.35,2024,-4.17
34,2023-08-20,2023-01-04,CityLiquor,R7572,USA,NC,Greensboro,StonePeak,IPA,StonePeak IPA 24oz,P12159,Off-Premise,Direct,Can,24-Pack,24,8520,11,4.54,2.66,0.05,47.41,29.26,18.15,38.28,2.53,StonePeak,IPA,StonePeak IPA 24oz,P12159,CityLiquor,R7572,USA,NC,Greensboro,2023-08-20,2023-01-04,Off-Premise,Direct,Can,24-Pack,24,8520,11,4.54,2.66,38.28,47.41,18.15,2023,
35,2023-07-23,2023-12-07,BottleKing,R6709,USA,NC,Raleigh,BrewCo,Stout,BrewCo Stout 12oz,P66956,Off-Premise,Direct,Bottle,24-Pack,24,8520,11,5.2,3.33,0.15,48.62,36.63,11.99,24.66,8.58,BrewCo,Stout,BrewCo Stout 12oz,P66956,BottleKing,R6709,USA,NC,Raleigh,2023-07-23,2023-12-07,Off-Premise,Direct,Bottle,24-Pack,24,8520,11,5.2,3.33,24.66,48.62,11.99,2023,
36,2025-04-29,2023-01-18,CampusStore,R7367,USA,NC,Charlotte,NorthStar,IPA,NorthStar IPA 24oz,P39339,On-Premise,Distributor,Can,24-Pack,24,17040,10,4.96,2.33,0.0,49.6,23.3,26.3,53.02,0.0,NorthStar,IPA,NorthStar IPA 24oz,P39339,CampusStore,R7367,USA,NC,Charlotte,2025-04-29,2023-01-18,On-Premise,Distributor,Can,24-Pack,24,17040,10,4.96,2.33,53.02,49.6,26.3,2025,0.21
37,2023-07-10,2023-02-27,MegaMart,R5214,USA,NC,Durham,StonePeak,IPA,StonePeak IPA 16oz,P37500,On-Premise,Direct,Can,12-Pack,12,4260,5,4.72,2.31,0.0,23.6,11.55,12.05,51.06,0.0,StonePeak,IPA,StonePeak IPA 16oz,P37500,MegaMart,R5214,USA,NC,Durham,2023-07-10,2023-02-27,On-Premise,Direct,Can,12-Pack,12,4260,5,4.72,2.31,51.06,23.6,12.05,2023,
38,2025-05-22,2023-12-26,CampusStore,R5774,USA,GA,Savannah,RiverMalt,IPA,RiverMalt IPA 16oz,P60553,On-Premise,Distributor,Can,24-Pack,24,8520,4,6.91,4.29,0.0,27.64,17.16,10.48,37.92,0.0,RiverMalt,IPA,RiverMalt IPA 16oz,P60553,CampusStore,R5774,USA,GA,Savannah,2025-05-22,2023-12-26,On-Premise,Distributor,Can,24-Pack,24,8520,4,6.91,4.29,37.92,27.64,10.48,2025,0.21
39,2023-05-26,2023-11-02,MegaMart,R2445,USA,TN,Nashville,BrewCo,Sour,BrewCo Sour 12oz,P72228,On-Premise,Direct,Bottle,6-Pack,6,2838,13,4.05,1.98,0.0,52.65,25.74,26.91,51.11,0.0,BrewCo,Sour,BrewCo Sour 12oz,P72228,MegaMart,R2445,USA,TN,Nashville,2023-05-26,2023-11-02,On-Premise,Direct,Bottle,6-Pack,6,2838,13,4.05,1.98,51.11,52.65,26.91,2023,
40,2023-07-08,2023-11-14,CityLiquor,R2940,USA,GA,Atlanta,HopHouse,Sour,HopHouse Sour 12oz,P90430,On-Premise,Direct,Bottle,6-Pack,6,4260,13,5.63,3.51,0.0,73.19,45.63,27.56,37.66,0.0,HopHouse,Sour,HopHouse Sour 12oz,P90430,CityLiquor,R2940,USA,GA,Atlanta,2023-07-08,2023-11-14,On-Premise,Direct,Bottle,6-Pack,6,4260,13,5.63,3.51,37.66,73.19,27.56,2023,
41,2025-07-27,2023-10-02,MegaMart,R9405,USA,SC,Columbia,BrewCo,Stout,BrewCo Stout 16oz,P77559,E-commerce,Distributor,Bottle,Single,1,473,13,4.37,2.5,0.0,56.81,32.5,24.31,42.79,0.0,BrewCo,Stout,BrewCo Stout 16oz,P77559,MegaMart,R9405,USA,SC,Columbia,2025-07-27,2023-10-02,E-commerce,Distributor,Bottle,Single,1,473,13,4.37,2.5,42.79,56.81,24.31,2025,0.21
42,2023-06-03,2023-07-26,BottleKing,R8119,Canada,SC,Charleston,HopHouse,Lager,HopHouse Lager 12oz,P11358,On-Premise,Distributor,Can,6-Pack,6,4260,2,6.3,3.73,0.15,10.72,7.46,3.26,30.41,1.88,HopHouse,Lager,HopHouse Lager 12oz,P11358,BottleKing,R8119,Canada,SC,Charleston,2023-06-03,2023-07-26,On-Premise,Distributor,Can,6-Pack,6,4260,2,6.3,3.73,30.41,10.72,3.26,2023,
43,2024-06-23,2023-01-18,MegaMart,R3886,Canada,TN,Nashville,NorthStar,Sour,NorthStar Sour 16oz,P39836,Off-Premise,Direct,Bottle,6-Pack,6,2130,17,6.38,3.41,0.0,108.46,57.97,50.49,46.55,0.0,NorthStar,Sour,NorthStar Sour 16oz,P39836,MegaMart,R3886,Canada,TN,Nashville,2024-06-23,2023-01-18,Off-Premise,Direct,Bottle,6-Pack,6,2130,17,6.38,3.41,46.55,108.46,50.49,2024,-4.17
44,2024-02-10,2024-01-03,BottleKing,R7208,USA,NC,Greensboro,NorthStar,IPA,NorthStar IPA 12oz,P27344,Off-Premise,Distributor,Can,12-Pack,12,8520,5,4.6,2.8,0.1,20.7,14.0,6.7,32.37,2.3,NorthStar,IPA,NorthStar IPA 12oz,P27344,BottleKing,R7208,USA,NC,Greensboro,2024-02-10,2024-01-03,Off-Premise,Distributor,Can,12-Pack,12,8520,5,4.6,2.8,32.37,20.7,6.7,2024,-4.17
45,2024-05-08,2023-11-12,BottleKing,R3535,USA,VA,Norfolk,NorthStar,Pilsner,NorthStar Pilsner 12oz,P66133,Off-Premise,Direct,Can,24-Pack,24,17040,15,5.84,3.61,0.05,83.25,54.15,29.1,34.95,4.35,NorthStar,Pilsner,NorthStar Pilsner 12oz,P66133,BottleKing,R3535,USA,VA,Norfolk,2024-05-08,2023-11-12,Off-Premise,Direct,Can,24-Pack,24,17040,15,5.84,3.61,34.95,83.25,29.1,2024,-4.17
46,2024-08-02,2023-08-20,CampusStore,R8961,USA,VA,Richmond,BrewCo,Lager,BrewCo Lager 12oz,P21945,On-Premise,Distributor,Bottle,6-Pack,6,2838,10,5.34,2.77,0.15,45.4,27.7,17.7,38.99,8.0,BrewCo,Lager,BrewCo Lager 12oz,P21945,CampusStore,R8961,USA,VA,Richmond,2024-08-02,2023-08-20,On-Premise,Distributor,Bottle,6-Pack,6,2838,10,5.34,2.77,38.99,45.4,17.7,2024,-4.17
47,2024-06-11,2023-02-27,CampusStore,R9173,USA,TN,Knoxville,StonePeak,IPA,StonePeak IPA 16oz,P95737,On-Premise,Direct,Bottle,24-Pack,24,8520,13,5.39,3.19,0.0,70.07,41.47,28.6,40.82,0.0,StonePeak,IPA,StonePeak IPA 16oz,P95737,CampusStore,R9173,USA,TN,Knoxville,2024-06-11,2023-02-27,On-Premise,Direct,Bottle,24-Pack,24,8520,13,5.39,3.19,40.82,70.07,28.6,2024,-4.17
48,2024-08-16,2024-01-03,BottleKing,R1836,USA,VA,Richmond,NorthStar,IPA,NorthStar IPA 12oz,P90367,Off-Premise,Direct,Bottle,6-Pack,6,2130,11,6.97,4.21,0.15,65.12,46.31,18.81,28.89,11.55,NorthStar,IPA,NorthStar IPA 12oz,P90367,BottleKing,R1836,USA,VA,Richmond,2024-08-16,2024-01-03,Off-Premise,Direct,Bottle,6-Pack,6,2130,11,6.97,4.21,28.89,65.12,18.81,2024,-4.17
49,2025-08-20,2023-06-07,BottleKing,R5111,USA,FL,Orlando,StonePeak,Pilsner,StonePeak Pilsner 24oz,P88749,Off-Premise,Distributor,Bottle,6-Pack,6,2130,5,5.06,2.55,0.15,21.5,12.75,8.75,40.7,3.8,StonePeak,Pilsner,StonePeak Pilsner 24oz,P88749,BottleKing,R5111,USA,FL,Orlando,2025-08-20,2023-06-07,Off-Premise,Distributor,Bottle,6-Pack,6,2130,5,5.06,2.55,40.7,21.5,8.75,2025,0.21
50,2024-02-21,2023-10-02,CampusStore,R3982,USA,FL,Miami,BrewCo,Stout,BrewCo Stout 16oz,P99352,Off-Premise,Distributor,Can,12-Pack,12,8520,13,7.32,3.46,0.1,85.67,44.98,40.69,47.5,9.49,BrewCo,Stout,BrewCo Stout 16oz,P99352,CampusStore,R3982,USA,FL,Miami,2024-02-21,2023-10-02,Off-Premise,Distributor,Can,12-Pack,12,8520,13,7.32,3.46,47.5,85.67,40.69,2024,-4.17
51,2025-06-08,2023-07-26,QuickStop,R5008,USA,TN,Knoxville,RiverMalt,Stout,RiverMalt Stout 24oz,P41610,E-commerce,Distributor,Bottle,12-Pack,12,4260,4,6.77,4.3,0.1,24.36,17.2,7.16,29.39,2.72,RiverMalt,Stout,RiverMalt Stout 24oz,P41610,QuickStop,R5008,USA,TN,Knoxville,2025-06-08,2023-07-26,E-commerce,Distributor,Bottle,12-Pack,12,4260,4,6.77,4.3,29.39,24.36,7.16,2025,0.21
52,2024-04-17,2023-10-29,CampusStore,R9208,Canada,FL,Tampa,HopHouse,Stout,HopHouse Stout 12oz,P37900,Off-Premise,Direct,Can,Single,1,710,8,5.44,2.83,0.0,43.52,22.64,20.88,47.98,0.0,HopHouse,Stout,HopHouse Stout 12oz,P37900,CampusStore,R9208,Canada,FL,Tampa,2024-04-17,2023-10-29,Off-Premise,Direct,Can,Single,1,710,8,5.44,2.83,47.98,43.52,20.88,2024,-4.17
53,2025-04-05,2023-03-25,BottleKing,R6666,USA,VA,Richmond,BrewCo,IPA,BrewCo IPA 16oz,P43765,On-Premise,Distributor,Can,Single,1,355,16,6.53,3.12,0.1,94.08,49.92,44.16,46.94,10.4,BrewCo,IPA,BrewCo IPA 16oz,P43765,BottleKing,R6666,USA,VA,Richmond,2025-04-05,2023-03-25,On-Premise,Distributor,Can,Single,1,355,16,6.53,3.12,46.94,94.08,44.16,2025,0.21
54,2024-01-30,2023-12-31,CityLiquor,R9924,USA,NC,Charlotte,NorthStar,Lager,NorthStar Lager 12oz,P30063,Off-Premise,Direct,Can,24-Pack,24,17040,7,4.31,2.41,0.0,30.17,16.87,13.3,44.08,0.0,NorthStar,Lager,NorthStar Lager 12oz,P30063,CityLiquor,R9924,USA,NC,Charlotte,2024-01-30,2023-12-31,Off-Premise,Direct,Can,24-Pack,24,17040,7,4.31,2.41,44.08,30.17,13.3,2024,-4.17
55,2025-03-22,2023-09-28,CampusStore,R9365,USA,SC,Columbia,HopHouse,IPA,HopHouse IPA 24oz,P26718,Off-Premise,Direct,Can,12-Pack,12,8520,5,3.37,1.57,0.05,16.0,7.85,8.15,50.94,0.85,HopHouse,IPA,HopHouse IPA 24oz,P26718,CampusStore,R9365,USA,SC,Columbia,2025-03-22,2023-09-28,Off-Premise,Direct,Can,12-Pack,12,8520,5,3.37,1.57,50.94,16.0,8.15,2025,0.21
