OrderID,OrderDate,CustomerID,SellerID,ProductID,UnitsSold,UnitSalePrice,GMV,MarketplaceRevenue,OrderStatus
O0000026,2024-09-25,C00273,S0036,P00045,1,47.21,47.21,3.78,Completed
O0000027,2025-10-28,C00786,S0152,P00107,2,44.78,89.56,7.16,Completed
O0000028,2025-06-21,C00005,S0004,P00305,3,29.9,89.7,6.73,Completed
O0000029,2025-09-16,C00381,S0105,P00028,3,43.46,130.38,10.43,Completed
O0000030,2023-05-15,C00365,S0053,P00032,1,13.3,13.3,1.06,Completed
O0000031,2024-05-09,C00147,S0011,P00307,2,14.1,28.2,2.11,Completed
O0000032,2025-10-25,C00399,S0044,P00161,1,40.23,40.23,3.02,Completed
O0000033,2025-08-14,C00584,S0093,P00218,4,36.56,146.24,11.7,Completed
O0000034,2024-11-14,C00799,S0044,P00218,2,44.77,89.54,6.72,Completed
O0000035,2025-10-12,C00860,S0108,P00131,5,26.01,130.05,9.75,Completed
O0000036,2024-04-17,C00719,S0090,P00029,5,49.75,248.75,19.9,Completed
O0000037,2025-08-19,C00082,S0150,P00047,3,20.13,60.39,4.23,Completed
O0000038,2025-10-09,C00203,S0141,P00155,3,41.63,124.89,9.37,Completed
O0000039,2024-02-28,C00299,S0115,P00311,2,19.56,39.12,2.93,Completed
O0000040,2025-12-22,C00218,S0104,P00137,2,27.62,55.24,4.42,Completed
O0000041,2024-11-25,C00734,S0050,P00205,5,55.51,277.55,22.2,Cancelled
O0000042,2023-04-07,C00273,S0089,P00287,4,35.0,140.0,11.2,Completed
O0000043,2025-12-04,C00783,S0081,P00030,1,47.8,47.8,3.82,Completed
O0000044,2023-08-13,C00487,S0128,P00182,1,10.27,10.27,0.72,Completed
O0000045,2024-08-30,C00514,S0084,P00251,4,8.86,35.44,2.84,Completed
O0000046,2025-09-04,C00202,S0041,P00071,3,29.08,87.24,6.98,Completed
O0000047,2023-11-21,C00720,S0028,P00307,2,16.57,33.14,2.65,Completed
O0000048,2023-07-01,C00602,S0104,P00064,1,54.36,54.36,4.35,Completed
O0000049,2024-10-19,C00410,S0124,P00074,3,33.68,101.04,8.08,Completed
O0000050,2024-02-11,C00447,S0147,P00274,1,53.13,53.13,3.98,Completed
O0000051,2024-11-22,C00436,S0140,P00244,2,54.34,108.68,8.69,Completed
O0000052,2025-04-27,C00531,S0155,P00155,2,39.75,79.5,6.36,Completed
O0000053,2025-10-18,C00537,S0112,P00085,2,15.8,31.6,2.53,Completed
O0000054,2024-12-16,C00101,S0040,P00141,1,61.11,61.11,4.89,Completed
O0000055,2023-04-03,C00540,S0083,P00049,1,35.02,35.02,2.63,Completed
O0000056,2025-08-24,C00853,S0028,P00290,2,39.1,78.2,6.26,Completed
O0000057,2024-11-28,C00761,S0099,P00318,1,65.78,65.78,5.26,Completed
O0000058,2024-03-19,C00387,S0007,P00046,5,55.4,277.0,22.16,Completed
O0000059,2024-09-29,C00875,S0072,P00290,2,38.96,77.92,6.23,Completed
O0000060,2023-05-01,C00263,S0017,P00179,1,38.28,38.28,3.06,Completed
O0000061,2024-10-10,C00504,S0084,P00308,2,4.96,9.92,0.79,Completed
O0000062,2025-04-13,C00432,S0048,P00262,2,37.48,74.96,5.62,Completed
O0000063,2023-12-21,C00269,S0026,P00289,3,41.66,124.98,10.0,Completed
O0000064,2024-11-30,C00121,S0153,P00248,1,27.99,27.99,2.24,Completed
O0000065,2024-12-06,C00699,S0125,P00125,2,52.9,105.8,8.46,Completed
O0000066,2023-05-25,C00795,S0143,P00177,1,45.2,45.2,3.39,Completed
O0000067,2024-01-30,C00681,S0131,P00258,1,32.15,32.15,2.41,Cancelled
O0000068,2024-05-24,C00809,S0036,P00244,5,44.7,223.5,17.88,Completed
O0000069,2024-12-06,C00069,S0141,P00162,2,46.37,92.74,6.96,Completed
O0000070,2023-11-05,C00557,S0067,P00107,2,51.74,103.48,8.28,Completed
O0000071,2024-10-22,C00629,S0024,P00122,1,21.53,21.53,1.72,Completed
O0000072,2025-01-19,C00330,S0146,P00177,3,41.21,123.63,9.89,Completed
O0000073,2023-01-20,C00390,S0068,P00236,3,20.9,62.7,5.02,Cancelled
O0000074,2023-01-04,C00074,S0129,P00030,4,39.13,156.52,12.52,Completed
O0000075,2023-03-15,C00562,S0057,P00207,1,8.38,8.38,0.67,Completed
O0000076,2023-01-19,C00685,S0007,P00074,1,30.63,30.63,2.45,Completed
O0000077,2025-08-29,C00393,S0042,P00167,3,22.73,68.19,5.11,Completed
O0000078,2024-03-05,C00740,S0109,P00011,4,27.86,111.44,8.92,Completed
O0000079,2024-06-27,C00097,S0108,P00009,1,41.96,41.96,3.15,Completed
O0000080,2025-08-29,C00834,S0001,P00288,2,29.38,58.76,4.41,Completed
O0000081,2025-04-18,C00342,S0048,P00214,2,29.86,59.72,4.48,Completed
O0000082,2024-02-18,C00177,S0066,P00202,3,35.39,106.17,8.49,Completed
O0000083,2025-05-12,C00777,S0004,P00142,1,20.91,20.91,1.57,Completed
O0000084,2025-04-22,C00118,S0151,P00139,5,15.97,79.85,6.39,Completed
O0000085,2023-03-11,C00680,S0069,P00033,1,46.14,46.14,3.69,Completed
O0000086,2024-02-07,C00527,S0039,P00241,2,27.07,54.14,4.33,Returned
O0000087,2025-05-06,C00177,S0007,P00057,2,5.3,10.6,0.85,Completed
O0000088,2024-10-23,C00317,S0158,P00302,1,9.1,9.1,0.73,Completed
O0000089,2025-01-19,C00171,S0078,P00043,2,34.77,69.54,5.22,Completed
O0000090,2023-01-04,C00611,S0093,P00316,2,19.18,38.36,3.07,Completed
O0000091,2025-07-23,C00750,S0076,P00002,4,52.36,209.44,15.71,Completed
O0000092,2023-02-23,C00671,S0143,P00211,3,24.12,72.36,5.43,Completed
O0000093,2025-03-06,C00792,S0091,P00105,4,45.06,180.24,14.42,Completed
O0000094,2024-07-29,C00829,S0149,P00099,4,45.44,181.76,14.54,Completed
O0000095,2025-11-10,C00282,S0103,P00194,2,27.46,54.92,4.39,Completed
O0000096,2024-12-16,C00897,S0042,P00224,2,47.95,95.9,7.19,Returned
O0000097,2024-08-10,C00511,S0042,P00220,3,64.01,192.03,14.4,Completed
O0000098,2024-10-15,C00154,S0009,P00187,3,39.45,118.35,9.47,Completed
O0000099,2024-04-29,C00878,S0054,P00090,3,15.88,47.64,3.81,Completed
O0000100,2023-08-08,C00554,S0114,P00258,3,33.81,101.43,8.11,Completed
O0000101,2025-07-15,C00579,S0132,P00049,2,36.15,72.3,5.42,Completed
O0000102,2023-08-24,C00475,S0006,P00056,3,5.72,17.16,1.29,Completed
O0000103,2024-10-15,C00289,S0094,P00011,1,28.97,28.97,2.32,Completed
O0000104,2024-04-03,C00052,S0060,P00078,1,25.34,25.34,2.03,Completed
O0000105,2024-06-06,C00616,S0039,P00238,2,9.39,18.78,1.5,Completed
O0000106,2023-06-23,C00004,S0105,P00099,1,45.11,45.11,3.61,Completed
O0000107,2023-11-30,C00663,S0114,P00183,2,53.4,106.8,8.54,Completed
O0000108,2024-02-24,C00874,S0092,P00115,1,20.98,20.98,1.68,Returned
O0000109,2024-07-25,C00475,S0014,P00074,2,36.05,72.1,5.77,Completed
O0000110,2024-08-25,C00367,S0021,P00265,2,18.41,36.82,2.95,Completed
O0000111,2023-03-31,C00758,S0040,P00131,3,24.81,74.43,5.95,Completed
O0000112,2023-07-10,C00851,S0152,P00099,3,46.67,140.01,11.2,Returned
O0000113,2023-10-31,C00870,S0013,P00292,5,5.35,26.75,2.01,Completed
O0000114,2025-04-23,C00305,S0072,P00136,2,66.04,132.08,10.57,Completed
O0000115,2023-10-15,C00607,S0055,P00140,3,43.25,129.75,9.73,Cancelled
O0000116,2025-05-11,C00844,S0002,P00033,4,46.83,187.32,13.11,Returned
O0000117,2025-01-27,C00706,S0106,P00224,4,40.36,161.44,12.92,Completed
O0000118,2025-12-10,C00733,S0051,P00219,3,79.37,238.11,19.05,Completed
O0000119,2025-04-28,C00125,S0068,P00301,1,24.14,24.14,1.93,Completed
O0000120,2024-03-12,C00829,S0094,P00273,2,16.73,33.46,2.68,Completed
O0000121,2023-07-13,C00062,S0023,P00251,1,9.97,9.97,0.75,Completed
O0000122,2025-10-20,C00171,S0116,P00072,4,39.72,158.88,12.71,Completed
O0000123,2025-04-28,C00229,S0085,P00042,3,36.59,109.77,8.78,Completed
O0000124,2025-03-26,C00356,S0021,P00289,2,31.74,63.48,5.08,Completed
O0000125,2023-04-26,C00220,S0157,P00155,4,36.05,144.2,10.82,Completed
O0000126,2025-11-24,C00075,S0012,P00167,1,28.67,28.67,2.29,Completed
O0000127,2023-06-25,C00433,S0032,P00176,5,40.48,202.4,16.19,Completed
O0000128,2024-10-04,C00319,S0047,P00248,1,25.01,25.01,2.0,Completed
O0000129,2023-10-14,C00462,S0021,P00272,1,24.98,24.98,2.0,Completed
O0000130,2024-12-20,C00815,S0047,P00300,2,63.08,126.16,10.09,Completed
O0000131,2025-03-06,C00057,S0067,P00033,2,46.71,93.42,7.47,Completed
O0000132,2025-03-11,C00564,S0148,P00261,5,8.21,41.05,3.28,Completed
O0000133,2025-06-11,C00125,S0071,P00091,1,21.14,21.14,1.69,Completed
O0000134,2025-04-05,C00533,S0059,P00034,2,6.44,12.88,1.03,Completed
O0000135,2023-11-02,C00880,S0088,P00263,3,20.45,61.35,4.91,Completed
O0000136,2025-03-02,C00374,S0110,P00175,4,19.48,77.92,6.23,Completed
O0000137,2023-09-07,C00034,S0045,P00253,1,19.98,19.98,1.6,Cancelled
O0000138,2023-03-05,C00414,S0103,P00169,1,44.77,44.77,3.58,Completed
O0000139,2024-09-07,C00880,S0130,P00034,1,6.6,6.6,0.53,Cancelled
O0000140,2025-12-02,C00661,S0015,P00012,1,33.66,33.66,2.52,Completed
O0000141,2025-06-18,C00647,S0134,P00002,2,50.12,100.24,8.02,Completed
O0000142,2024-05-08,C00280,S0054,P00013,3,49.38,148.14,11.85,Completed
O0000143,2025-11-05,C00090,S0042,P00010,3,71.42,214.26,16.07,Completed
O0000144,2025-06-22,C00007,S0084,P00033,2,51.74,103.48,8.28,Completed
O0000145,2025-04-15,C00535,S0117,P00011,3,28.88,86.64,6.93,Completed
O0000146,2023-09-08,C00097,S0031,P00105,3,43.4,130.2,10.42,Cancelled
O0000147,2024-03-14,C00614,S0103,P00036,2,50.49,100.98,8.08,Completed
O0000148,2023-03-21,C00254,S0109,P00146,3,5.07,15.21,1.22,Cancelled
O0000149,2024-04-27,C00136,S0062,P00162,2,39.92,79.84,6.39,Completed
O0000150,2024-12-14,C00682,S0088,P00105,2,51.79,103.58,8.29,Completed
O0000151,2025-11-25,C00479,S0069,P00133,2,37.83,75.66,6.05,Completed
O0000152,2025-12-12,C00115,S0084,P00238,1,10.59,10.59,0.85,Completed
O0000153,2025-05-28,C00825,S0070,P00018,6,24.4,146.4,10.98,Completed
O0000154,2023-04-26,C00347,S0062,P00285,1,50.29,50.29,4.02,Completed
O0000155,2023-02-22,C00793,S0088,P00219,2,55.59,111.18,8.89,Completed
O0000156,2023-03-23,C00778,S0137,P00020,5,30.44,152.2,12.18,Completed
O0000157,2023-11-12,C00836,S0073,P00157,3,35.44,106.32,8.51,Completed
O0000158,2024-04-21,C00563,S0103,P00064,2,49.53,99.06,7.92,Returned
O0000159,2024-03-10,C00445,S0021,P00034,2,7.01,14.02,1.12,Completed
O0000160,2025-04-05,C00652,S0023,P00159,6,18.68,112.08,8.41,Completed
O0000161,2024-05-25,C00142,S0145,P00288,4,30.35,121.4,9.71,Completed
O0000162,2025-02-01,C00865,S0030,P00041,1,42.93,42.93,3.43,Completed
O0000163,2023-06-09,C00818,S0142,P00037,3,22.19,66.57,5.33,Completed
O0000164,2024-12-19,C00632,S0129,P00237,2,44.6,89.2,7.14,Cancelled
O0000165,2023-03-21,C00895,S0084,P00306,2,15.11,30.22,2.42,Completed
O0000166,2024-10-14,C00828,S0117,P00148,3,16.99,50.97,4.08,Completed
O0000167,2023-01-06,C00391,S0023,P00270,2,34.7,69.4,5.2,Completed
O0000168,2025-06-25,C00717,S0109,P00146,4,5.86,23.44,1.88,Completed
O0000169,2024-06-05,C00154,S0142,P00299,3,39.06,117.18,9.37,Completed
O0000170,2024-12-24,C00514,S0152,P00183,1,56.64,56.64,4.53,Completed
O0000171,2024-08-08,C00782,S0106,P00023,1,37.65,37.65,3.01,Completed
O0000172,2025-06-04,C00691,S0033,P00176,4,39.28,157.12,12.57,Completed
O0000173,2023-05-18,C00657,S0133,P00310,3,13.65,40.95,3.28,Completed
O0000174,2023-08-08,C00358,S0071,P00117,4,10.31,41.24,3.3,Completed
O0000175,2025-04-07,C00208,S0141,P00047,3,16.75,50.25,3.77,Returned
O0000176,2024-05-31,C00626,S0097,P00026,1,37.72,37.72,3.02,Completed
O0000177,2023-12-12,C00560,S0155,P00296,1,52.63,52.63,4.21,Completed
O0000178,2024-06-11,C00619,S0036,P00155,2,46.7,93.4,7.47,Completed
O0000179,2025-07-28,C00621,S0010,P00154,2,8.37,16.74,1.26,Completed
O0000180,2023-04-27,C00857,S0056,P00272,1,22.76,22.76,1.71,Completed
O0000181,2023-10-24,C00041,S0069,P00245,2,42.7,85.4,6.83,Completed
O0000182,2023-09-24,C00866,S0053,P00180,6,29.96,179.76,14.38,Completed
O0000183,2025-01-15,C00705,S0053,P00041,1,46.45,46.45,3.72,Completed
O0000184,2023-11-13,C00248,S0150,P00236,3,27.55,82.65,5.79,Completed
O0000185,2023-12-01,C00426,S0066,P00107,2,49.8,99.6,7.97,Completed
O0000186,2023-03-16,C00373,S0038,P00254,2,50.5,101.0,8.08,Completed
O0000187,2024-04-15,C00129,S0065,P00286,2,22.11,44.22,3.54,Completed
O0000188,2025-12-20,C00331,S0125,P00108,3,24.77,74.31,5.94,Completed
O0000189,2023-06-28,C00319,S0151,P00300,2,54.67,109.34,8.75,Completed
O0000190,2023-04-15,C00888,S0052,P00066,1,35.04,35.04,2.63,Returned
O0000191,2023-02-03,C00708,S0084,P00083,1,21.63,21.63,1.73,Completed
O0000192,2024-05-29,C00151,S0142,P00042,2,36.44,72.88,5.83,Completed
O0000193,2024-02-21,C00754,S0124,P00150,1,19.12,19.12,1.53,Completed
O0000194,2023-12-07,C00721,S0028,P00277,3,56.04,168.12,13.45,Completed
O0000195,2025-04-14,C00545,S0051,P00274,4,50.92,203.68,16.29,Completed
O0000196,2024-10-29,C00463,S0021,P00301,4,25.4,101.6,8.13,Completed
O0000197,2025-08-20,C00310,S0108,P00061,3,13.53,40.59,3.04,Completed
O0000198,2024-07-28,C00336,S0027,P00149,1,37.18,37.18,2.97,Completed
O0000199,2025-02-16,C00802,S0129,P00058,4,36.55,146.2,11.7,Completed
O0000200,2025-07-23,C00089,S0149,P00067,5,28.22,141.1,11.29,Completed
O0000201,2025-12-30,C00873,S0142,P00156,4,52.51,210.04,16.8,Completed
O0000202,2024-05-14,C00563,S0147,P00302,3,9.41,28.23,2.12,Completed
O0000203,2024-11-08,C00632,S0148,P00077,3,39.71,119.13,9.53,Completed
O0000204,2024-01-02,C00693,S0015,P00051,2,45.6,91.2,6.84,Completed
O0000205,2023-07-15,C00234,S0032,P00213,3,16.36,49.08,3.93,Completed
O0000206,2025-07-08,C00319,S0153,P00317,4,57.65,230.6,18.45,Returned
O0000207,2025-04-29,C00316,S0003,P00145,2,33.1,66.2,5.3,Completed
O0000208,2024-06-18,C00247,S0072,P00285,2,57.03,114.06,9.12,Completed
O0000209,2024-04-26,C00540,S0057,P00137,3,23.43,70.29,5.62,Completed
O0000210,2023-02-28,C00136,S0023,P00243,1,5.08,5.08,0.38,Completed
O0000211,2025-12-15,C00197,S0125,P00316,1,23.56,23.56,1.88,Returned
O0000212,2024-05-18,C00648,S0159,P00056,2,5.52,11.04,0.88,Completed
O0000213,2025-07-05,C00329,S0075,P00131,3,28.07,84.21,6.32,Completed
O0000214,2023-05-22,C00801,S0067,P00232,2,5.57,11.14,0.89,Completed
O0000215,2025-06-01,C00196,S0022,P00175,1,21.48,21.48,1.72,Completed
O0000216,2025-02-07,C00653,S0030,P00291,3,33.79,101.37,8.11,Completed
O0000217,2023-11-01,C00133,S0083,P00030,2,52.4,104.8,7.86,Completed
O0000218,2024-09-18,C00256,S0062,P00170,4,57.74,230.96,18.48,Completed
O0000219,2024-05-03,C00515,S0076,P00045,1,50.13,50.13,3.76,Returned
O0000220,2024-12-17,C00233,S0036,P00116,1,81.64,81.64,6.53,Completed
O0000221,2023-03-22,C00812,S0065,P00011,3,28.34,85.02,6.8,Completed
O0000222,2023-12-16,C00646,S0153,P00259,2,14.7,29.4,2.35,Completed
O0000223,2023-12-07,C00007,S0115,P00033,2,54.83,109.66,8.22,Completed
O0000224,2025-09-04,C00154,S0040,P00139,1,16.33,16.33,1.31,Completed
O0000225,2023-08-21,C00110,S0029,P00074,4,34.28,137.12,10.28,Completed
O0000226,2024-11-30,C00489,S0063,P00303,1,84.02,84.02,6.72,Completed
O0000227,2025-01-30,C00820,S0083,P00261,1,7.44,7.44,0.56,Completed
O0000228,2024-04-01,C00768,S0025,P00262,5,35.88,179.4,14.35,Completed
O0000229,2025-08-24,C00431,S0111,P00039,3,54.73,164.19,13.14,Completed
O0000230,2024-01-14,C00187,S0008,P00024,2,16.49,32.98,2.47,Completed
O0000231,2023-02-03,C00570,S0077,P00305,4,26.42,105.68,7.93,Completed
O0000232,2024-06-21,C00627,S0158,P00093,2,37.76,75.52,6.04,Completed
O0000233,2024-09-02,C00486,S0155,P00247,2,52.49,104.98,8.4,Completed
O0000234,2023-09-03,C00663,S0134,P00210,6,16.24,97.44,7.8,Completed
O0000235,2024-09-09,C00513,S0067,P00087,6,20.11,120.66,9.65,Completed
O0000236,2023-06-22,C00502,S0014,P00236,2,24.05,48.1,3.85,Completed
O0000237,2023-04-17,C00900,S0078,P00150,3,21.07,63.21,4.74,Completed
O0000238,2023-11-22,C00187,S0135,P00295,1,56.29,56.29,4.5,Completed
O0000239,2023-08-01,C00396,S0124,P00210,3,15.94,47.82,3.83,Completed
O0000240,2023-04-20,C00680,S0098,P00057,1,5.17,5.17,0.39,Completed
O0000241,2023-01-25,C00094,S0117,P00107,5,41.51,207.55,16.6,Completed
O0000242,2024-09-18,C00837,S0097,P00267,2,57.43,114.86,9.19,Completed
O0000243,2023-10-30,C00817,S0033,P00261,3,8.9,26.7,2.14,Completed
O0000244,2024-11-01,C00870,S0048,P00304,1,37.86,37.86,2.84,Completed
O0000245,2023-05-01,C00461,S0160,P00105,4,45.04,180.16,14.41,Completed
O0000246,2024-10-27,C00697,S0114,P00233,1,5.03,5.03,0.4,Completed
O0000247,2024-06-01,C00725,S0070,P00296,4,45.96,183.84,13.79,Completed
O0000248,2023-12-06,C00306,S0067,P00129,1,54.72,54.72,4.38,Completed
O0000249,2025-12-05,C00535,S0140,P00047,2,23.44,46.88,3.75,Completed
O0000250,2023-04-18,C00316,S0108,P00026,3,37.85,113.55,8.52,Completed
O0000251,2023-04-01,C00353,S0096,P00070,4,32.26,129.04,9.68,Completed
O0000252,2024-07-11,C00744,S0021,P00077,2,33.04,66.08,5.29,Completed
O0000253,2025-06-15,C00662,S0022,P00128,4,64.3,257.2,20.58,Completed
O0000254,2023-01-18,C00169,S0100,P00074,2,30.3,60.6,4.85,Completed
O0000255,2024-03-09,C00688,S0061,P00196,2,50.7,101.4,8.11,Completed
O0000256,2024-03-24,C00067,S0037,P00118,3,50.52,151.56,12.12,Completed
O0000257,2024-04-16,C00750,S0115,P00037,3,21.2,63.6,4.77,Completed
O0000258,2025-10-12,C00045,S0042,P00143,2,5.17,10.34,0.78,Returned
O0000259,2025-02-01,C00664,S0123,P00134,2,11.26,22.52,1.8,Completed
O0000260,2024-07-04,C00106,S0020,P00066,3,37.08,111.24,8.34,Completed
O0000261,2024-12-04,C00883,S0044,P00006,1,62.38,62.38,4.68,Completed
O0000262,2023-02-08,C00872,S0067,P00031,1,15.54,15.54,1.24,Completed
O0000263,2024-04-22,C00842,S0050,P00284,2,28.47,56.94,4.56,Completed
O0000264,2024-11-27,C00637,S0070,P00203,3,34.95,104.85,7.86,Completed
O0000265,2024-10-02,C00213,S0017,P00225,1,38.58,38.58,3.09,Completed
O0000266,2025-08-26,C00102,S0140,P00296,1,38.84,38.84,3.11,Completed
O0000267,2023-06-18,C00447,S0145,P00301,2,27.02,54.04,4.32,Completed
O0000268,2024-03-15,C00810,S0046,P00289,1,33.87,33.87,2.71,Completed
O0000269,2024-10-15,C00338,S0072,P00123,2,59.97,119.94,9.6,Completed
O0000270,2023-06-10,C00192,S0037,P00207,5,8.98,44.9,3.59,Returned
O0000271,2024-12-14,C00835,S0142,P00225,1,47.18,47.18,3.77,Completed
O0000272,2024-03-14,C00676,S0133,P00085,2,16.01,32.02,2.56,Completed
O0000273,2025-02-18,C00610,S0108,P00240,7,37.45,262.15,19.66,Completed
O0000274,2024-11-29,C00262,S0033,P00274,3,66.73,200.19,16.02,Completed
O0000275,2024-10-22,C00017,S0022,P00179,2,34.61,69.22,5.54,Completed
O0000276,2023-03-13,C00613,S0063,P00032,2,14.03,28.06,2.24,Completed
O0000277,2023-08-17,C00067,S0141,P00308,6,4.94,29.64,2.22,Completed
O0000278,2024-12-09,C00496,S0037,P00098,3,27.39,82.17,6.57,Completed
O0000279,2023-06-16,C00023,S0041,P00222,2,54.58,109.16,8.73,Completed
O0000280,2023-08-24,C00326,S0053,P00072,3,39.98,119.94,9.6,Returned
O0000281,2024-03-20,C00739,S0104,P00271,2,20.62,41.24,3.3,Completed
O0000282,2025-05-05,C00783,S0046,P00214,3,29.79,89.37,7.15,Completed
O0000283,2024-04-28,C00881,S0006,P00091,2,17.02,34.04,2.55,Completed
O0000284,2025-05-23,C00735,S0090,P00041,3,48.57,145.71,11.66,Completed
O0000285,2024-11-10,C00413,S0037,P00304,1,36.56,36.56,2.92,Completed
O0000286,2025-11-05,C00158,S0043,P00192,1,48.62,48.62,3.89,Completed
O0000287,2023-10-11,C00610,S0001,P00088,2,35.16,70.32,5.27,Completed
O0000288,2025-02-22,C00187,S0120,P00086,3,56.63,169.89,12.74,Completed
O0000289,2023-09-14,C00073,S0081,P00035,3,6.9,20.7,1.66,Completed
O0000290,2025-01-14,C00284,S0137,P00173,4,45.84,183.36,14.67,Completed
O0000291,2024-09-13,C00242,S0047,P00247,2,53.02,106.04,8.48,Completed
O0000292,2024-06-11,C00219,S0158,P00189,4,54.31,217.24,17.38,Completed
O0000293,2024-11-29,C00576,S0160,P00016,2,35.87,71.74,5.74,Completed
O0000294,2025-10-21,C00606,S0104,P00022,2,16.99,33.98,2.72,Completed
O0000295,2023-08-05,C00725,S0006,P00110,2,27.75,55.5,4.16,Completed
O0000296,2023-03-03,C00145,S0104,P00037,2,22.34,44.68,3.57,Completed
O0000297,2024-08-07,C00862,S0131,P00006,1,50.35,50.35,3.78,Completed
O0000298,2023-04-24,C00476,S0050,P00272,5,25.77,128.85,10.31,Completed
O0000299,2024-02-25,C00839,S0038,P00199,4,48.57,194.28,15.54,Completed
O0000300,2023-06-29,C00004,S0137,P00254,2,56.04,112.08,8.97,Completed
O0000301,2024-09-20,C00775,S0093,P00298,1,25.54,25.54,2.04,Completed
O0000302,2025-04-24,C00750,S0091,P00151,2,19.99,39.98,3.2,Completed
O0000303,2023-05-05,C00109,S0083,P00161,1,40.93,40.93,3.07,Completed
O0000304,2024-07-12,C00135,S0039,P00109,2,44.93,89.86,7.19,Completed
O0000305,2025-07-02,C00405,S0018,P00102,3,50.24,150.72,12.06,Completed
O0000306,2025-06-02,C00252,S0023,P00019,1,6.12,6.12,0.46,Returned
O0000307,2023-02-12,C00527,S0069,P00047,2,18.18,36.36,2.91,Completed
O0000308,2025-09-05,C00794,S0006,P00178,2,58.53,117.06,8.78,Completed
O0000309,2024-02-25,C00509,S0050,P00274,1,51.54,51.54,4.12,Completed
O0000310,2025-04-15,C00287,S0053,P00071,1,29.16,29.16,2.33,Completed
O0000311,2023-02-14,C00184,S0052,P00089,6,42.42,254.52,19.09,Completed
O0000312,2024-06-04,C00476,S0014,P00305,4,30.83,123.32,9.87,Completed
O0000313,2023-01-16,C00452,S0029,P00280,3,18.77,56.31,4.22,Completed
O0000314,2024-05-31,C00793,S0157,P00050,2,26.13,52.26,3.92,Completed
O0000315,2023-07-19,C00880,S0143,P00007,1,12.36,12.36,0.93,Completed
O0000316,2025-10-30,C00325,S0107,P00204,2,22.61,45.22,3.39,Completed
O0000317,2024-08-11,C00578,S0090,P00155,1,41.12,41.12,3.29,Completed
O0000318,2023-08-10,C00614,S0064,P00275,2,40.37,80.74,6.46,Completed
O0000319,2023-01-10,C00419,S0159,P00166,2,45.41,90.82,7.27,Completed
O0000320,2025-02-05,C00205,S0062,P00291,1,31.61,31.61,2.53,Completed
O0000321,2023-01-29,C00259,S0114,P00144,3,30.92,92.76,7.42,Completed
O0000322,2025-08-30,C00566,S0089,P00204,1,22.18,22.18,1.77,Completed
O0000323,2025-06-26,C00163,S0122,P00072,1,45.4,45.4,3.63,Completed
O0000324,2024-09-03,C00700,S0056,P00241,2,28.89,57.78,4.33,Completed
O0000325,2024-05-04,C00590,S0058,P00142,1,21.59,21.59,1.73,Completed
O0000326,2025-06-04,C00130,S0141,P00200,3,43.06,129.18,9.69,Completed
O0000327,2025-09-09,C00358,S0126,P00186,1,45.89,45.89,3.67,Completed
O0000328,2023-06-20,C00407,S0046,P00214,2,33.13,66.26,5.3,Completed
O0000329,2025-01-12,C00790,S0021,P00069,3,55.45,166.35,13.31,Completed
