TransactionID,Date,ProductLine,Channel,Region,Units,ListRevenue,DiscountPct,NetRevenue,MaterialCost,LaborCost,FreightCost,ManufacturingOverhead,COGS,GrossProfit,GrossMarginPct
100020,2025-01-09,Services,E-commerce,East,1,559.62,0.0848,512.19,79.65,20.73,13.31,9.24,122.93,389.27,0.76
100021,2025-01-13,Accessories,Partner,Central,3,280.16,0.0934,253.98,50.72,11.38,8.22,5.87,76.2,177.79,0.7
100022,2025-01-13,Software Licenses,Direct,South,1,327.47,0.0782,301.87,31.58,7.07,3.69,5.96,48.3,253.57,0.84
100023,2025-01-10,Consumer Devices,Enterprise,Central,4,1780.33,0.1121,1580.73,394.44,92.56,51.29,62.39,600.68,980.05,0.62
100024,2025-01-04,Services,Partner,South,11,6363.85,0,6363.85,962.65,248.5,145.92,170.25,1527.32,4836.53,0.76
100025,2025-01-14,Consumer Devices,E-commerce,Central,5,2005.4,0.1014,1802.15,431.91,112.19,52.74,87.97,684.82,1117.33,0.62
100026,2025-01-17,Enterprise Hardware,Direct,South,3,2732.24,0.0806,2512.13,731.64,170.27,123.25,130.42,1155.58,1356.55,0.54
100027,2025-01-17,Enterprise Hardware,Partner,Central,10,8542.07,0.0307,8279.79,2526.08,722.57,341.81,218.25,3808.7,4471.09,0.54
100028,2025-01-14,Services,Partner,East,9,4985.78,0.1152,4411.25,685.72,196.9,102.81,73.28,1058.7,3352.55,0.76
100029,2025-01-07,Accessories,Partner,South,3,301.35,0.0473,287.09,58.08,15.83,8.8,3.42,86.13,200.96,0.7
100030,2025-01-23,Enterprise Hardware,Direct,Central,4,3265.07,0.1546,2760.24,805.92,209.59,107.48,146.72,1269.71,1490.53,0.54
100031,2025-01-27,Enterprise Hardware,Partner,West,7,5775.43,0.0401,5543.95,1698.21,439.92,241.88,170.21,2550.22,2993.73,0.54
100032,2025-01-01,Accessories,Partner,East,1,91.8,0.0643,85.89,15.7,4.62,2.73,2.72,25.77,60.12,0.7
100033,2025-01-08,Software Licenses,Direct,East,9,2708.12,0.1143,2398.66,245.95,60.56,30.77,46.5,383.79,2014.87,0.84
100034,2025-01-10,Services,Direct,West,9,5015.0,0.0475,4776.73,765.22,165.63,100.83,114.73,1146.42,3630.31,0.76
100035,2025-01-26,Software Licenses,Partner,West,10,3017.52,0.1242,2642.62,277.88,61.97,32.59,50.37,422.82,2219.8,0.84
100036,2025-01-03,Accessories,Enterprise,West,5,458.8,0.1785,376.89,73.87,15.84,8.63,14.73,113.07,263.82,0.7
100037,2025-01-06,Consumer Devices,Enterprise,Central,3,1346.33,0.0495,1279.73,298.23,83.29,39.66,65.11,486.3,793.43,0.62
100038,2025-01-06,Networking,Partner,West,11,7577.8,0.0363,7302.58,1870.57,523.35,289.51,383.65,3067.08,4235.5,0.58
100039,2025-01-04,Services,Direct,East,6,3347.37,0.0704,3111.87,464.56,131.3,77.86,73.13,746.85,2365.02,0.76
100040,2025-01-20,Consumer Devices,E-commerce,East,3,1270.0,0.0478,1209.34,290.44,78.81,44.09,46.21,459.55,749.79,0.62
100041,2025-01-15,Networking,Direct,Central,10,7002.34,0.0302,6790.66,1718.35,477.24,201.98,454.51,2852.08,3938.58,0.58
100042,2025-01-27,Consumer Devices,Partner,Central,12,4761.06,0.0582,4483.74,1121.45,321.74,141.11,119.53,1703.82,2779.92,0.62
100043,2025-01-08,Services,E-commerce,East,11,6563.55,0.0817,6027.21,880.91,242.43,149.4,173.79,1446.53,4580.68,0.76
100044,2025-01-19,Enterprise Hardware,Partner,West,4,3250.83,0.0987,2930.0,851.63,219.58,98.48,178.12,1347.8,1582.2,0.54
100045,2025-01-08,Software Licenses,Direct,East,6,1866.2,0.1051,1670.06,167.83,46.18,20.81,32.39,267.21,1402.85,0.84
100046,2025-01-18,Networking,Direct,East,6,4080.95,0.0754,3773.34,1050.16,278.52,162.72,93.4,1584.8,2188.54,0.58
100047,2025-01-11,Software Licenses,Enterprise,Central,9,2741.92,0.0734,2540.71,272.72,61.44,30.31,42.05,406.51,2134.2,0.84
100048,2025-01-28,Enterprise Hardware,E-commerce,South,1,877.45,0.1178,774.04,222.41,54.46,35.19,44.0,356.06,417.98,0.54
100049,2025-01-25,Software Licenses,Enterprise,South,8,2439.37,0.0857,2230.42,216.41,57.11,36.55,46.8,356.87,1873.55,0.84
100050,2025-01-18,Consumer Devices,Partner,West,12,4935.94,0.0237,4819.18,1106.31,322.35,141.03,261.6,1831.29,2987.89,0.62
100051,2025-01-21,Software Licenses,Partner,East,6,1895.34,0.1032,1699.8,171.25,40.87,21.05,38.79,271.97,1427.84,0.84
100052,2025-01-08,Software Licenses,E-commerce,West,9,2989.12,0.1014,2685.99,265.55,74.88,31.51,57.81,429.76,2256.23,0.84
100053,2025-01-21,Networking,Enterprise,West,5,3656.83,0.0472,3484.4,897.11,267.56,150.47,148.31,1463.45,2020.95,0.58
100054,2025-01-01,Software Licenses,Direct,South,10,2944.21,0.0589,2770.79,281.13,82.4,46.8,33.0,443.33,2327.46,0.84
100055,2025-01-20,Services,Direct,South,3,1770.44,0.1027,1588.55,252.36,61.77,31.56,35.57,381.25,1207.3,0.76
100056,2025-01-23,Accessories,E-commerce,South,12,1095.33,0.0878,999.11,183.17,56.93,25.22,34.41,299.73,699.38,0.7
100057,2025-01-05,Software Licenses,Partner,East,12,3517.96,0.0861,3215.09,319.26,97.48,52.07,45.61,514.41,2700.67,0.84
100058,2025-01-03,Software Licenses,Direct,South,2,573.3,0.001,572.72,60.73,15.51,9.14,6.25,91.64,481.09,0.84
100059,2025-01-02,Networking,Direct,Central,2,1430.43,0.0937,1296.44,346.49,88.73,59.67,49.61,544.5,751.93,0.58
100060,2025-01-22,Services,E-commerce,East,11,5802.73,0.1107,5160.64,828.8,206.08,131.17,72.5,1238.55,3922.09,0.76
100061,2025-01-16,Accessories,Enterprise,East,9,850.26,0.0833,779.4,148.05,41.32,19.81,24.64,233.82,545.58,0.7
100062,2025-01-10,Networking,Enterprise,Central,8,5194.25,0.0271,5053.56,1385.91,317.87,184.73,233.99,2122.49,2931.06,0.58
100063,2025-01-03,Services,Partner,East,3,1642.96,0.0692,1529.25,246.56,57.98,25.86,36.62,367.02,1162.23,0.76
100064,2025-01-12,Accessories,E-commerce,East,3,300.4,0.0667,280.35,52.99,15.63,6.82,8.66,84.11,196.25,0.7
100065,2025-01-04,Accessories,Partner,South,2,185.9,0.0921,168.78,31.91,8.13,4.28,6.31,50.63,118.15,0.7
100066,2025-01-05,Consumer Devices,E-commerce,South,1,439.74,0.1171,388.23,95.53,27.05,16.18,8.77,147.53,240.7,0.62
100067,2025-01-05,Services,Direct,South,7,3934.35,0.1007,3538.35,560.63,159.56,75.99,53.02,849.2,2689.15,0.76
100068,2025-01-22,Consumer Devices,E-commerce,East,6,2669.86,0.0703,2482.16,586.34,162.59,75.09,119.2,943.22,1538.94,0.62
100069,2025-01-27,Software Licenses,E-commerce,South,1,319.85,0.1168,282.5,30.41,6.64,4.24,3.91,45.2,237.3,0.84
100070,2025-01-08,Networking,Direct,Central,5,3315.82,0.0627,3108.01,810.24,232.34,95.57,167.21,1305.36,1802.65,0.58
100071,2025-01-16,Consumer Devices,Direct,Central,5,1964.71,0.1682,1634.27,378.64,115.02,67.49,59.88,621.02,1013.25,0.62
100072,2025-01-26,Networking,E-commerce,East,12,7933.57,0.136,6854.24,1917.79,456.28,273.95,230.77,2878.78,3975.46,0.58
100073,2025-01-01,Accessories,E-commerce,East,6,551.89,0.0273,536.8,105.82,23.1,11.69,20.43,161.04,375.76,0.7
100074,2025-01-15,Software Licenses,Enterprise,East,5,1662.71,0.0477,1583.46,164.92,46.18,18.75,23.49,253.35,1330.1,0.84
100075,2025-01-15,Enterprise Hardware,Direct,Central,7,6291.02,0.0817,5777.23,1598.15,430.43,235.48,393.47,2657.53,3119.7,0.54
100076,2025-01-22,Accessories,E-commerce,Central,5,506.26,0.1401,435.31,80.03,24.6,10.64,15.33,130.59,304.72,0.7
100077,2025-01-13,Enterprise Hardware,E-commerce,Central,1,848.06,0.1716,702.56,214.34,58.33,24.83,25.67,323.18,379.38,0.54
100078,2025-01-10,Enterprise Hardware,Direct,East,8,6422.11,0.0868,5864.68,1742.99,444.33,296.52,213.91,2697.75,3166.93,0.54
100079,2025-01-10,Networking,Partner,East,7,5160.74,0.0543,4880.67,1387.38,359.06,204.35,99.1,2049.88,2830.79,0.58
100080,2025-01-09,Accessories,E-commerce,East,6,554.46,0,554.46,103.91,23.61,12.64,26.18,166.34,388.12,0.7
100081,2025-01-19,Enterprise Hardware,Direct,Central,12,11006.3,0.1364,9504.93,2755.66,703.87,342.96,569.78,4372.27,5132.66,0.54
100082,2025-01-17,Consumer Devices,Partner,West,6,2534.54,0.0287,2461.75,601.42,169.91,67.61,96.51,935.47,1526.29,0.62
100083,2025-01-03,Networking,Direct,South,9,5873.2,0.0129,5797.27,1578.87,437.64,216.37,201.98,2434.85,3362.42,0.58
100084,2025-01-11,Consumer Devices,Enterprise,West,11,4923.68,0.0429,4712.49,1131.26,317.15,174.07,168.26,1790.75,2921.75,0.62
100085,2025-01-14,Services,Enterprise,West,8,4401.13,0.0034,4386.38,708.1,176.41,85.35,82.87,1052.73,3333.65,0.76
100086,2025-01-21,Software Licenses,Enterprise,East,2,592.16,0.0467,564.5,58.13,12.67,7.42,12.1,90.32,474.18,0.84
100087,2025-01-21,Accessories,Enterprise,Central,9,913.01,0.0688,850.23,170.08,37.86,22.1,25.03,255.07,595.16,0.7
100088,2025-01-23,Consumer Devices,Partner,East,3,1218.89,0.0663,1138.07,277.31,75.29,38.29,41.58,432.47,705.6,0.62
100089,2025-01-18,Enterprise Hardware,Partner,West,7,5946.19,0.0793,5474.58,1650.17,425.23,176.89,266.01,2518.31,2956.27,0.54
100090,2025-01-01,Consumer Devices,Partner,South,12,4867.79,0.0821,4468.28,1019.47,250.58,156.34,271.56,1697.95,2770.33,0.62
100091,2025-01-26,Services,Partner,South,10,5551.53,0.0114,5487.99,809.54,237.08,127.52,142.98,1317.12,4170.87,0.76
100092,2025-01-07,Consumer Devices,Enterprise,Central,11,4448.84,0.0702,4136.59,1034.37,298.25,143.64,95.64,1571.9,2564.68,0.62
100093,2025-01-03,Services,E-commerce,Central,6,3101.38,0.0518,2940.83,439.27,124.29,55.86,86.38,705.8,2235.03,0.76
100094,2025-01-10,Software Licenses,Partner,South,6,1974.75,0.1091,1759.25,184.25,51.39,23.47,22.36,281.48,1477.77,0.84
100095,2025-01-21,Accessories,Partner,East,10,907.91,0.1156,802.94,162.41,43.78,17.47,17.22,240.88,562.06,0.7
100096,2025-01-13,Services,Direct,West,10,5857.05,0,5857.05,906.26,233.15,134.2,132.08,1405.69,4451.36,0.76
100097,2025-01-19,Software Licenses,E-commerce,West,1,310.5,0.0878,283.23,27.21,7.75,4.29,6.07,45.32,237.91,0.84
100098,2025-01-10,Accessories,Partner,West,5,455.0,0.0872,415.32,78.21,22.47,11.37,12.54,124.59,290.72,0.7
100099,2025-01-04,Networking,Partner,Central,4,2566.85,0.0702,2386.64,680.22,171.16,94.34,56.67,1002.39,1384.25,0.58
100100,2025-01-23,Networking,E-commerce,Central,9,6290.13,0.1121,5584.7,1568.91,368.33,253.43,154.91,2345.57,3239.12,0.58
100101,2025-01-23,Accessories,E-commerce,West,12,1108.27,0.05,1052.91,199.85,45.99,30.04,39.99,315.87,737.04,0.7
100102,2025-01-02,Consumer Devices,E-commerce,West,1,404.2,0.1124,358.78,91.81,24.7,12.97,6.86,136.34,222.45,0.62
100103,2025-01-21,Enterprise Hardware,E-commerce,Central,4,3580.65,0,3580.65,1037.61,236.98,165.74,206.77,1647.1,1933.55,0.54
100104,2025-01-06,Accessories,Direct,South,10,889.49,0.0807,817.71,155.83,45.06,24.85,19.58,245.31,572.4,0.7
100105,2025-01-07,Consumer Devices,Direct,West,9,3999.16,0.0561,3774.72,899.03,207.21,152.21,175.93,1434.39,2340.33,0.62
100106,2025-01-23,Services,Enterprise,East,12,7038.99,0.0364,6783.07,1012.52,282.23,127.76,205.42,1627.94,5155.14,0.76
100107,2025-01-12,Networking,E-commerce,South,2,1272.93,0.0823,1168.2,321.52,89.05,38.87,41.21,490.64,677.56,0.58
100108,2025-01-10,Software Licenses,E-commerce,South,9,2945.97,0.1051,2636.49,262.65,77.15,30.28,51.76,421.84,2214.65,0.84
100109,2025-01-23,Enterprise Hardware,E-commerce,West,5,4243.12,0.0642,3970.66,1232.17,258.0,195.68,140.65,1826.5,2144.15,0.54
100110,2025-01-24,Enterprise Hardware,Direct,Central,4,3144.33,0.0731,2914.45,841.68,217.68,144.92,136.36,1340.65,1573.8,0.54
100111,2025-01-26,Software Licenses,Partner,West,8,2297.52,0.0749,2125.44,206.47,48.47,29.92,55.21,340.07,1785.37,0.84
100112,2025-01-06,Software Licenses,E-commerce,Central,8,2345.63,0.0673,2187.71,219.01,54.8,33.0,43.22,350.03,1837.67,0.84
100113,2025-01-15,Software Licenses,Partner,South,1,294.57,0.0809,270.73,29.42,6.11,3.15,4.63,43.32,227.41,0.84
100114,2025-01-09,Consumer Devices,Direct,Central,1,421.26,0.0596,396.14,91.63,28.31,11.74,18.85,150.53,245.6,0.62
100115,2025-01-14,Enterprise Hardware,E-commerce,Central,2,1723.89,0.0156,1696.96,486.57,147.77,73.29,72.97,780.6,916.36,0.54
100116,2025-01-21,Accessories,Enterprise,East,5,504.39,0.045,481.7,95.54,23.38,12.57,13.02,144.51,337.19,0.7
100117,2025-01-01,Accessories,Partner,Central,8,740.39,0.0299,718.26,132.77,35.67,23.32,23.73,215.48,502.78,0.7
100118,2025-01-04,Software Licenses,Partner,Central,7,2089.21,0.098,1884.48,203.26,43.07,25.26,29.93,301.52,1582.96,0.84
100119,2025-01-15,Services,Partner,Central,7,4167.56,0.0151,4104.69,643.82,148.77,72.22,120.32,985.13,3119.56,0.76
100120,2025-01-25,Enterprise Hardware,Enterprise,South,7,6040.86,0.0888,5504.44,1525.21,471.62,207.51,327.71,2532.04,2972.4,0.54
100121,2025-01-01,Consumer Devices,Partner,Central,8,3624.47,0.0289,3519.88,863.36,251.38,111.36,111.46,1337.55,2182.32,0.62
100122,2025-01-05,Accessories,E-commerce,East,6,611.51,0.0547,578.08,109.75,24.41,18.79,20.47,173.42,404.65,0.7
100123,2025-01-07,Consumer Devices,Direct,South,11,4555.7,0.0435,4357.6,1049.85,308.92,165.17,131.95,1655.89,2701.71,0.62
100124,2025-01-12,Accessories,Partner,West,8,741.0,0.0948,670.78,122.85,32.72,20.03,25.64,201.23,469.54,0.7
100125,2025-01-19,Services,Enterprise,South,4,2236.94,0.1509,1899.32,307.93,66.44,48.63,32.84,455.84,1443.48,0.76
100126,2025-01-07,Accessories,Direct,West,7,685.1,0.0545,647.77,122.32,29.74,16.69,25.59,194.33,453.44,0.7
100127,2025-01-20,Consumer Devices,Direct,South,6,2604.52,0.0741,2411.58,577.62,158.16,87.83,92.78,916.4,1495.18,0.62
100128,2025-01-07,Networking,Direct,Central,4,2599.75,0.0657,2428.88,613.54,181.15,89.1,136.33,1020.13,1408.75,0.58
100129,2025-01-06,Accessories,E-commerce,Central,7,663.16,0.0849,606.84,111.7,28.72,16.02,25.61,182.05,424.79,0.7
100130,2025-01-16,Services,E-commerce,South,2,1154.91,0.0064,1147.51,182.67,44.59,24.66,23.47,275.4,872.11,0.76
100131,2025-01-10,Consumer Devices,Enterprise,South,9,3728.42,0,3728.42,903.45,225.86,127.41,160.08,1416.8,2311.62,0.62
100132,2025-01-04,Consumer Devices,E-commerce,South,6,2636.62,0.1268,2302.27,549.26,132.02,91.91,101.67,874.86,1427.41,0.62
100133,2025-01-01,Accessories,E-commerce,East,3,295.27,0.074,273.43,55.22,13.32,6.79,6.7,82.03,191.4,0.7
100134,2025-01-11,Consumer Devices,Enterprise,West,6,2624.08,0.0767,2422.81,610.24,133.12,87.16,90.15,920.67,1502.14,0.62
100135,2025-01-21,Software Licenses,Partner,West,9,2801.48,0.0877,2555.8,252.77,67.89,33.69,54.58,408.93,2146.87,0.84
100136,2025-02-16,Services,Direct,Central,2,1097.38,0.1188,967.05,141.38,36.89,16.85,36.98,232.09,734.96,0.76
100137,2025-02-14,Consumer Devices,Direct,South,9,3564.63,0.0123,3520.77,860.13,229.56,138.03,110.16,1337.89,2182.88,0.62
100138,2025-02-04,Accessories,Direct,South,11,981.37,0.201,784.15,158.41,42.17,19.46,15.2,235.24,548.9,0.7
100139,2025-02-21,Software Licenses,Partner,South,5,1652.03,0.0586,1555.22,149.95,45.94,22.34,30.6,248.83,1306.38,0.84
100140,2025-02-22,Accessories,Enterprise,South,8,774.87,0.0942,701.91,135.69,31.24,22.16,21.49,210.57,491.33,0.7
100141,2025-02-04,Enterprise Hardware,E-commerce,Central,4,3578.16,0.0328,3460.92,1032.91,295.02,114.67,149.42,1592.02,1868.9,0.54
100142,2025-02-16,Accessories,Partner,South,2,204.24,0.0236,199.42,40.42,10.46,6.42,2.52,59.83,139.59,0.7
100143,2025-02-03,Accessories,Enterprise,East,2,202.21,0.0777,186.5,35.96,7.86,4.16,7.97,55.95,130.55,0.7
100144,2025-02-11,Services,Direct,East,2,1194.6,0.0394,1147.55,171.56,40.48,22.18,41.19,275.41,872.14,0.76
100145,2025-02-20,Enterprise Hardware,Direct,Central,9,7503.7,0.0996,6756.48,2058.04,491.29,339.07,219.59,3107.98,3648.5,0.54
100146,2025-02-03,Services,Direct,West,6,3399.63,0.0543,3215.2,476.4,118.03,79.4,97.81,771.65,2443.55,0.76
100147,2025-02-11,Enterprise Hardware,Direct,South,12,9719.54,0.1199,8554.13,2382.61,560.53,387.62,604.15,3934.9,4619.23,0.54
100148,2025-02-15,Enterprise Hardware,Direct,East,12,10413.74,0.1962,8370.39,2468.26,661.7,369.24,351.18,3850.38,4520.01,0.54
100149,2025-02-04,Networking,E-commerce,Central,11,7632.52,0.04,7327.23,1846.76,549.76,301.59,379.33,3077.44,4249.8,0.58
100150,2025-02-24,Consumer Devices,Enterprise,Central,3,1252.29,0.0708,1163.61,271.88,63.82,47.71,58.76,442.17,721.44,0.62
100151,2025-02-20,Services,Partner,South,12,6216.61,0.0994,5598.76,912.61,213.2,106.16,111.73,1343.7,4255.06,0.76
100152,2025-02-15,Networking,Enterprise,South,6,4282.49,0.1716,3547.7,929.18,233.28,132.69,194.89,1490.03,2057.66,0.58
100153,2025-02-01,Consumer Devices,Partner,West,7,2715.57,0,2715.57,697.06,152.0,113.43,69.43,1031.92,1683.65,0.62
100154,2025-02-16,Consumer Devices,E-commerce,East,10,3997.19,0.0352,3856.33,935.99,245.88,114.93,168.61,1465.4,2390.92,0.62
100155,2025-02-05,Enterprise Hardware,E-commerce,East,6,5067.01,0.0839,4641.75,1378.97,385.2,194.22,176.81,2135.21,2506.55,0.54
100156,2025-02-01,Services,E-commerce,West,3,1619.98,0.0984,1460.64,221.18,51.62,32.66,45.1,350.55,1110.09,0.76
100157,2025-02-15,Consumer Devices,E-commerce,Central,6,2342.47,0.0404,2247.87,555.65,155.0,87.65,55.89,854.19,1393.68,0.62
100158,2025-02-27,Enterprise Hardware,E-commerce,West,6,5214.95,0.1279,4548.0,1308.22,322.43,156.72,304.71,2092.08,2455.92,0.54
100159,2025-02-19,Accessories,E-commerce,South,5,470.1,0.0902,427.69,82.5,19.25,13.26,13.29,128.31,299.38,0.7
100160,2025-02-13,Networking,Enterprise,East,6,4321.25,0.1191,3806.77,971.78,226.57,125.69,274.8,1598.84,2207.93,0.58
100161,2025-02-08,Consumer Devices,Partner,Central,11,4514.6,0.076,4171.58,1076.17,293.58,173.11,42.34,1585.2,2586.38,0.62
100162,2025-02-21,Enterprise Hardware,Direct,South,5,4163.27,0.0579,3922.42,1167.55,285.57,166.95,184.24,1804.31,2118.11,0.54
100163,2025-02-10,Consumer Devices,E-commerce,South,12,5106.42,0.0766,4715.34,1130.42,336.94,191.52,132.95,1791.83,2923.51,0.62
100164,2025-02-12,Networking,Partner,Central,5,3461.28,0.0827,3174.97,881.95,215.68,130.56,105.29,1333.49,1841.48,0.58
100165,2025-02-19,Networking,E-commerce,West,7,4789.25,0.0431,4583.0,1214.0,301.11,163.96,245.78,1924.86,2658.14,0.58
100166,2025-02-26,Accessories,Enterprise,Central,11,991.76,0.1111,881.53,162.71,43.74,22.58,35.43,264.46,617.07,0.7
100167,2025-02-17,Accessories,E-commerce,West,5,474.95,0.1587,399.57,73.03,21.59,11.41,13.83,119.87,279.7,0.7
100168,2025-02-03,Software Licenses,Enterprise,Central,2,583.95,0.0148,575.32,61.66,16.99,10.04,3.37,92.05,483.27,0.84
100169,2025-02-08,Services,Enterprise,West,4,2267.51,0.0701,2108.47,327.65,89.19,53.25,35.94,506.03,1602.44,0.76
100170,2025-02-11,Enterprise Hardware,Direct,South,11,9787.72,0.1472,8347.13,2422.16,704.75,279.95,432.82,3839.68,4507.45,0.54
100171,2025-02-01,Consumer Devices,Partner,West,9,3971.12,0.1254,3473.24,833.76,200.35,102.19,183.54,1319.83,2153.41,0.62
100172,2025-02-03,Consumer Devices,Direct,Central,12,5096.69,0.0714,4732.69,1147.77,271.15,194.32,185.19,1798.42,2934.27,0.62
100173,2025-02-16,Accessories,Direct,West,4,410.32,0.0829,376.31,68.18,17.68,11.73,15.31,112.89,263.42,0.7
100174,2025-02-22,Software Licenses,Direct,West,8,2388.41,0.056,2254.59,223.18,57.22,38.48,41.86,360.73,1893.86,0.84
100175,2025-02-03,Consumer Devices,Partner,South,3,1310.27,0.0234,1279.6,297.71,92.25,47.37,48.92,486.25,793.35,0.62
100176,2025-02-15,Enterprise Hardware,Direct,South,2,1625.52,0,1625.52,463.93,135.9,79.22,68.69,747.74,877.78,0.54
100177,2025-02-18,Accessories,Direct,South,3,289.97,0.1494,246.66,48.14,12.62,6.71,6.53,74.0,172.66,0.7
100178,2025-02-27,Enterprise Hardware,Partner,South,12,10535.37,0.0571,9934.09,3043.73,758.64,366.13,401.18,4569.68,5364.41,0.54
100179,2025-02-06,Software Licenses,Direct,East,4,1150.67,0.0756,1063.66,107.15,25.16,14.6,23.28,170.19,893.48,0.84
100180,2025-02-19,Services,Partner,East,10,5679.84,0.1513,4820.52,732.39,181.38,107.44,135.71,1156.93,3663.6,0.76
100181,2025-02-25,Services,E-commerce,West,6,3318.09,0.1082,2959.06,461.5,115.94,51.28,81.45,710.17,2248.88,0.76
100182,2025-02-09,Networking,Partner,South,1,667.48,0.0931,605.32,160.75,38.37,18.35,36.76,254.24,351.09,0.58
100183,2025-02-22,Software Licenses,Enterprise,West,7,2029.77,0.0872,1852.8,178.2,51.19,22.05,45.01,296.45,1556.35,0.84
100184,2025-02-18,Services,Partner,Central,3,1642.05,0.0276,1596.79,256.22,59.3,28.64,39.07,383.23,1213.56,0.76
100185,2025-02-07,Software Licenses,Partner,South,9,2777.76,0.098,2505.64,267.22,68.99,33.75,30.94,400.9,2104.74,0.84
100186,2025-02-28,Accessories,Enterprise,West,4,396.72,0.122,348.3,65.34,15.84,7.45,15.86,104.49,243.81,0.7
100187,2025-02-03,Software Licenses,Direct,East,11,3669.28,0.1719,3038.58,297.0,80.17,40.7,68.3,486.17,2552.41,0.84
100188,2025-02-28,Services,Partner,East,8,4731.47,0.1264,4133.62,622.53,165.16,88.81,115.58,992.07,3141.55,0.76
100189,2025-02-03,Services,Partner,Central,2,1178.64,0.1402,1013.45,148.94,37.65,19.83,36.82,243.23,770.23,0.76
100190,2025-02-28,Consumer Devices,Partner,East,8,3616.09,0.0372,3481.74,859.04,243.13,143.31,77.58,1323.06,2158.68,0.62
100191,2025-02-21,Accessories,Direct,South,12,1124.54,0.0971,1015.36,195.19,54.63,22.36,32.44,304.61,710.75,0.7
100192,2025-02-17,Accessories,E-commerce,Central,2,195.21,0.044,186.61,36.63,10.55,5.39,3.41,55.98,130.63,0.7
100193,2025-02-23,Enterprise Hardware,Enterprise,Central,1,870.91,0.0831,798.52,248.24,57.94,26.11,35.03,367.32,431.2,0.54
100194,2025-02-26,Networking,Partner,Central,6,3855.59,0.0852,3527.03,942.7,227.34,139.95,171.36,1481.35,2045.68,0.58
100195,2025-02-26,Enterprise Hardware,Partner,West,8,6497.12,0.1354,5617.32,1721.3,427.59,182.74,252.33,2583.97,3033.35,0.54
100196,2025-02-13,Consumer Devices,Partner,South,10,4106.35,0.1529,3478.42,814.56,214.47,105.72,187.05,1321.8,2156.62,0.62
100197,2025-02-10,Services,Direct,East,12,6879.7,0.0609,6460.5,977.09,222.01,159.56,191.85,1550.52,4909.98,0.76
100198,2025-02-01,Software Licenses,Enterprise,West,9,2761.69,0.0928,2505.39,261.85,65.26,29.02,44.73,400.86,2104.53,0.84
100199,2025-02-13,Consumer Devices,Partner,West,4,1736.51,0.0992,1564.22,366.48,92.34,61.94,73.65,594.4,969.82,0.62
100200,2025-02-24,Enterprise Hardware,Partner,South,10,8289.29,0.0187,8134.63,2516.29,554.34,306.09,365.21,3741.93,4392.7,0.54
